,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.8,,,,,,,,,,,,,,,,,,
2021年,0.78,,,,,,,,,,,,,,,,,,
2020年,0.76,,,,,,,,,,,,,,,,,,
2019年,0.74,,,,,,,,,,,,,,,,,,
2018年,0.72,,,,,,,,,,,,,,,,,,
2017年,0.7,,,,,,,,,,,,,,,,,,
2016年,0.68,,,,,,,,,,,,,,,,,,
2015年,0.66,,,,,,,,,,,,,,,,,,
2014年,0.64,,,,,,,,,,,,,,,,,,
2013年,0.62,,,,,,,,,,,,,,,,,,
Unnamed: 0,,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市
2022,,7351,7815,341260,41610.9,111.5,113.1,3110.3,190313,100.7,98.4,2184,1913,271,82.49,80.43,84.62,0.09,0.88
2021,,7036,7495,322189,41045.6,111.4,113.4,3126.7,187526,108.8,102.8,2189,1916,273,82.49,80.43,84.62,0.1,0.88
2020,,6858,7315,307996,35943.3,108.3,110.7,2840.3,164158,101.1,91.6,2189,1916,273,82.49,80.43,84.62,0.13,0.88
2019,,6648,7105,259365,35445.1,114.4,116.9,2867.5,161776,106.1,95.0,2190,1913,277,82.49,80.43,84.62,0.12,0.87
2018,,7716,8129,273387,33106.0,120.6,122.6,2824.1,150962,106.7,98.0,2192,1909,283,82.49,80.43,84.62,0.1,0.87
2017,,9008,9494,210061,29883.0,121.9,124.3,2703.7,136172,106.8,95.2,2194,1907,287,82.49,80.43,84.62,0.19,0.87
2016,,9042,9537,208813,27041.2,129.8,132.2,2544.3,123391,106.9,91.3,2195,1904,291,82.49,80.43,84.62,0.2,0.87
2015,,9026,9551,206521,24779.1,140.4,142.8,2506.7,113692,106.9,89.2,2188,1897,291,82.49,80.43,84.62,0.16,0.87
2014,,8949,9474,197293,22926.0,159.2,161.5,2579.0,106732,107.4,100.0,2171,1878,293,82.49,80.43,84.62,0.23,0.87
2013,,3098,3599,190705,21134.6,159.8,162.0,2483.2,100569,107.7,103.0,2125,1836,289,82.49,80.43,84.62,0.28,0.86
