,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.4,,,,,,,,,,,,,,,,,,
2021年,0.39,,,,,,,,,,,,,,,,,,
2020年,0.38,,,,,,,,,,,,,,,,,,
2019年,0.37,,,,,,,,,,,,,,,,,,
2018年,0.36,,,,,,,,,,,,,,,,,,
2017年,0.35,,,,,,,,,,,,,,,,,,
2016年,0.34,,,,,,,,,,,,,,,,,,
2015年,0.33,,,,,,,,,,,,,,,,,,
2014年,0.32,,,,,,,,,,,,,,,,,,
2013年,0.31,,,,,,,,,,,,,,,,,,
Unnamed: 0,,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市
2022,,10707,11470,119079,16311.3,273.1,283.4,1401.7,119235,101.0,102.9,1363,1160,203,81.3,79.32,83.4,0.01,0.85
2021,,10390,10986,105119,15685.1,265.9,275.9,1424.6,113660,106.6,102.2,1373,1165,208,81.3,79.32,83.4,0.01,0.85
2020,,10684,11246,95568,14008.0,210.3,218.3,1304.1,101068,101.4,99.5,1387,1175,212,81.3,79.32,83.4,0.01,0.85
2019,,11851,12403,84886,14055.5,185.4,191.8,1357.3,101557,104.8,100.2,1385,1168,217,81.3,79.32,83.4,0.01,0.84
2018,,11818,12265,79142,13362.9,175.3,181.0,1345.2,95689,103.4,100.1,1383,1161,222,81.3,79.32,83.4,0.01,0.84
2017,,12322,13200,128601,12450.6,169.0,174.0,1313.6,87280,103.4,102.8,1410,1178,232,81.3,79.32,83.4,0.0,0.84
2016,,9789,10591,119826,11477.2,168.5,174.6,1199.1,79647,106.0,103.0,1443,1202,241,81.3,79.32,83.4,0.0,0.83
2015,,7189,7908,98551,10879.5,162.3,167.3,1146.3,75868,106.9,102.6,1439,1193,246,81.3,79.32,83.4,0.02,0.83
2014,,5155,5739,80350,10640.6,158.8,163.1,1102.4,74960,107.5,102.8,1429,1180,249,81.3,79.32,83.4,0.0,0.83
2013,,2914,3394,66138,9945.4,154.8,158.5,1039.0,71345,110.1,101.9,1410,1160,250,81.3,79.32,83.4,0.01,0.82
