,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.44,,,,,,,,,,,,,,,,,,
2021年,1.4,,,,,,,,,,,,,,,,,,
2020年,1.36,,,,,,,,,,,,,,,,,,
2019年,1.32,,,,,,,,,,,,,,,,,,
2018年,1.28,,,,,,,,,,,,,,,,,,
2017年,1.24,,,,,,,,,,,,,,,,,,
2016年,1.2,,,,,,,,,,,,,,,,,,
2015年,1.16,,,,,,,,,,,,,,,,,,
2014年,1.12,,,,,,,,,,,,,,,,,,
2013年,1.08,,,,,,,,,,,,,,,,,,
Unnamed: 0,,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省
2022,,115706,127507,517926,42370.4,4410.3,4697.4,3429.1,56995,103.8,104.2,7420,4575,2845,77.75,75.2,80.52,1.67,0.62
2021,,95296,105390,441451,40397.1,4030.4,4286.2,3218.3,54181,106.5,106.4,7448,4554,2894,77.75,75.2,80.52,1.22,0.61
2020,,106861,117945,411316,36013.8,3880.4,4113.2,2927.3,48302,103.8,103.2,7464,4484,2980,77.75,75.2,80.52,1.31,0.6
2019,,104011,114610,374542,34978.6,3518.4,3727.5,2922.5,47036,106.7,101.6,7447,4377,3070,77.75,75.2,80.52,1.09,0.59
2018,,105892,115722,358174,32494.6,3338.6,3522.3,2722.3,43808,106.5,103.0,7426,4257,3169,77.75,75.2,80.52,1.13,0.57
2017,,89801,105372,337751,30640.8,3130.0,3298.3,2553.3,41451,106.6,103.9,7409,4130,3279,77.75,75.2,80.52,1.42,0.56
2016,,62411,73763,219536,28474.1,3082.5,3235.1,2290.0,38688,106.7,103.5,7375,3973,3402,77.75,75.2,80.52,1.4,0.54
2015,,46867,58834,165475,26398.4,3100.5,3240.3,2153.0,35994,106.8,102.6,7345,3795,3550,77.75,75.2,80.52,1.29,0.52
2014,,34108,44777,131451,25208.9,3164.7,3294.3,2025.1,34507,106.5,103.7,7323,3615,3708,77.75,75.2,80.52,1.32,0.49
2013,,17047,26599,111227,24259.6,3141.9,3260.8,1938.8,33346,108.2,103.3,7288,3500,3788,77.75,75.2,80.52,1.21,0.48
