,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.8,,,,,,,,,,,,,,,,,,
2021年,0.78,,,,,,,,,,,,,,,,,,
2020年,0.76,,,,,,,,,,,,,,,,,,
2019年,0.74,,,,,,,,,,,,,,,,,,
2018年,0.72,,,,,,,,,,,,,,,,,,
2017年,0.7,,,,,,,,,,,,,,,,,,
2016年,0.68,,,,,,,,,,,,,,,,,,
2015年,0.66,,,,,,,,,,,,,,,,,,
2014年,0.64,,,,,,,,,,,,,,,,,,
2013年,0.62,,,,,,,,,,,,,,,,,,
Unnamed: 0,,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省
2022,,105387,114798,275470,25642.6,1340.4,1415.4,1666.7,73675,104.4,105.1,3481,2226,1255,77.91,75.64,80.47,0.78,0.64
2021,,101813,110032,264606,22870.4,1286.9,1356.9,1608.9,65625,109.3,108.1,3480,2207,1273,77.91,75.64,80.47,0.84,0.63
2020,,97184,104786,221278,17835.6,1166.6,1232.0,1347.0,51051,103.6,106.7,3490,2182,1308,77.91,75.64,80.47,0.89,0.63
2019,,89111,95968,172364,16961.6,825.3,875.5,1361.6,48469,106.1,102.2,3497,2143,1354,77.91,75.64,80.47,0.69,0.61
2018,,95058,102075,141041,15958.1,740.8,788.4,1328.3,45517,106.6,102.1,3502,2096,1406,77.91,75.64,80.47,0.61,0.6
2017,,99121,106983,178727,14484.3,719.2,764.1,1148.5,41242,106.8,102.9,3510,2057,1453,77.91,75.64,80.47,0.58,0.59
2016,,87165,94596,139240,11946.4,724.3,766.8,1108.1,33972,104.1,102.9,3514,2012,1502,77.91,75.64,80.47,0.5,0.57
2015,,72135,78524,94250,11836.4,726.2,767.1,1117.1,33593,103.0,101.0,3519,1966,1553,77.91,75.64,80.47,0.51,0.56
2014,,61120,66666,62599,12094.7,736.6,775.9,1026.8,34248,104.9,104.8,3528,1916,1612,77.91,75.64,80.47,0.46,0.54
2013,,34587,39575,45404,11987.2,697.6,733.1,1007.6,33848,109.0,104.8,3535,1869,1666,77.91,75.64,80.47,0.46,0.53
