,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.64,,,,,,,,,,,,,,,,,,
2021年,0.62,,,,,,,,,,,,,,,,,,
2020年,0.6,,,,,,,,,,,,,,,,,,
2019年,0.58,,,,,,,,,,,,,,,,,,
2018年,0.56,,,,,,,,,,,,,,,,,,
2017年,0.54,,,,,,,,,,,,,,,,,,
2016年,0.52,,,,,,,,,,,,,,,,,,
2015年,0.5,,,,,,,,,,,,,,,,,,
2014年,0.48,,,,,,,,,,,,,,,,,,
2013年,0.46,,,,,,,,,,,,,,,,,,
Unnamed: 0,,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区
2022,,63144,72051,147316,23158.6,2653.7,2710.0,1585.3,96474,104.2,104.3,2401,1647,754,77.56,74.98,80.45,0.2,0.69
2021,,64053,72915,130357,21166.0,2353.9,2387.5,1538.1,88137,106.7,105.0,2400,1637,763,77.56,74.98,80.45,0.21,0.68
2020,,60334,68491,110098,17258.0,2028.8,2060.0,1363.0,71640,100.2,101.7,2403,1622,781,77.56,74.98,80.45,0.24,0.67
2019,,53421,60533,93920,17212.5,1863.3,1893.5,1448.3,71170,105.2,102.4,2415,1605,810,77.56,74.98,80.45,0.19,0.66
2018,,54834,62035,85930,16140.8,1750.7,1779.8,1370.2,66491,105.2,103.2,2422,1587,835,77.56,74.98,80.45,0.36,0.66
2017,,53418,63495,82851,14898.1,1649.8,1677.7,1303.0,61196,104.0,103.3,2433,1572,861,77.56,74.98,80.45,0.46,0.65
2016,,36601,46071,68237,13789.3,1650.6,1677.0,1220.5,56560,107.0,103.2,2436,1544,892,77.56,74.98,80.45,0.51,0.63
2015,,28738,37307,55958,12949.0,1630.2,1655.3,1146.7,52972,107.7,103.2,2440,1515,925,77.56,74.98,80.45,0.44,0.62
2014,,22892,31322,48765,12158.2,1638.0,1661.9,1073.4,49585,107.8,103.2,2449,1493,956,77.56,74.98,80.45,0.22,0.61
2013,,8429,15775,39002,11392.4,1582.9,1605.3,978.8,46320,108.7,103.7,2455,1469,986,77.56,74.98,80.45,0.24,0.6
