,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.04,,,,,,,,,,,,,,,,,,
2021年,1.01,,,,,,,,,,,,,,,,,,
2020年,0.98,,,,,,,,,,,,,,,,,,
2019年,0.95,,,,,,,,,,,,,,,,,,
2018年,0.92,,,,,,,,,,,,,,,,,,
2017年,0.89,,,,,,,,,,,,,,,,,,
2016年,0.86,,,,,,,,,,,,,,,,,,
2015年,0.83,,,,,,,,,,,,,,,,,,
2014年,0.8,,,,,,,,,,,,,,,,,,
2013年,0.77,,,,,,,,,,,,,,,,,,
Unnamed: 0,,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省,辽宁省
2022,,48977,59907,234520,28975.1,2597.6,2685.8,2229.1,68775,102.1,102.8,4197,3064,1133,78.68,75.96,81.54,0.15,0.73
2021,,48248,57851,220268,27569.5,2461.9,2546.9,2192.0,64992,105.8,105.3,4229,3079,1150,78.68,75.96,81.54,0.18,0.73
2020,,50296,60355,208749,25011.4,2284.8,2370.3,2002.8,58629,100.6,103.2,4255,3070,1185,78.68,75.96,81.54,0.22,0.72
2019,,42302,50804,169425,24855.3,2178.0,2266.9,2147.9,58019,105.4,103.6,4277,3046,1231,78.68,75.96,81.54,0.26,0.71
2018,,44025,52445,178057,23510.5,2020.6,2109.6,2046.9,54657,105.6,103.0,4291,3015,1276,78.68,75.96,81.54,0.28,0.7
2017,,30723,44088,191012,21693.0,1902.3,2000.4,1988.1,50221,104.2,103.6,4312,2996,1316,78.68,75.96,81.54,0.3,0.69
2016,,24894,36796,169643,20392.5,1841.2,1945.8,1920.7,47069,100.5,98.3,4327,2980,1347,78.68,75.96,81.54,0.23,0.69
2015,,21438,32287,155775,20210.3,2053.7,2158.0,1819.8,46482,102.8,104.0,4338,2952,1386,78.68,75.96,81.54,0.06,0.68
2014,,17652,27981,137479,20025.7,2002.0,2104.8,1667.6,45915,105.7,102.2,4358,2922,1436,78.68,75.96,81.54,0.07,0.67
2013,,13572,23131,115758,19208.8,1973.4,2067.4,1459.3,43956,108.7,104.0,4365,2901,1464,78.68,75.96,81.54,0.12,0.66
