,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.64,,,,,,,,,,,,,,,,,,
2021年,0.62,,,,,,,,,,,,,,,,,,
2020年,0.6,,,,,,,,,,,,,,,,,,
2019年,0.58,,,,,,,,,,,,,,,,,,
2018年,0.56,,,,,,,,,,,,,,,,,,
2017年,0.54,,,,,,,,,,,,,,,,,,
2016年,0.52,,,,,,,,,,,,,,,,,,
2015年,0.5,,,,,,,,,,,,,,,,,,
2014年,0.48,,,,,,,,,,,,,,,,,,
2013年,0.46,,,,,,,,,,,,,,,,,,
Unnamed: 0,,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省
2022,,32824,42186,94609,13070.2,1689.1,1742.3,785.5,55347,98.1,104.0,2348,1496,852,78.41,75.62,81.4,1.05,0.64
2021,,28796,37976,81420,13163.8,1553.8,1604.2,820.5,55148,106.5,106.4,2375,1505,870,78.41,75.62,81.4,1.13,0.63
2020,,26302,34884,55953,12256.0,1553.0,1600.6,733.5,50561,102.3,101.3,2399,1503,896,78.41,75.62,81.4,1.21,0.63
2019,,23952,32629,46743,11726.8,1287.3,1333.4,759.1,47554,103.0,102.5,2448,1509,939,78.41,75.62,81.4,1.17,0.62
2018,,25156,31489,46950,11253.8,1160.7,1205.0,732.9,44925,104.4,102.0,2484,1512,972,78.41,75.62,81.4,1.15,0.61
2017,,19420,27786,47558,10922.0,1095.4,1137.7,717.8,42890,105.2,103.3,2526,1508,1018,78.41,75.62,81.4,1.08,0.6
2016,,14254,22638,43730,10427.0,1130.1,1171.1,704.9,40259,106.5,103.9,2567,1508,1059,78.41,75.62,81.4,1.52,0.59
2015,,13469,21479,40125,10018.0,1270.6,1309.1,666.7,38128,106.1,104.7,2613,1506,1107,78.41,75.62,81.4,1.49,0.58
2014,,12662,20467,36877,9966.5,1270.2,1308.2,665.4,37539,106.3,104.6,2642,1501,1141,78.41,75.62,81.4,1.48,0.57
2013,,5611,13187,28095,9427.9,1250.2,1286.6,637.0,35139,108.5,104.0,2668,1487,1181,78.41,75.62,81.4,1.53,0.56
