,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.96,,,,,,,,,,,,,,,,,,
2021年,0.93,,,,,,,,,,,,,,,,,,
2020年,0.9,,,,,,,,,,,,,,,,,,
2019年,0.87,,,,,,,,,,,,,,,,,,
2018年,0.84,,,,,,,,,,,,,,,,,,
2017年,0.81,,,,,,,,,,,,,,,,,,
2016年,0.78,,,,,,,,,,,,,,,,,,
2015年,0.75,,,,,,,,,,,,,,,,,,
2014年,0.72,,,,,,,,,,,,,,,,,,
2013年,0.69,,,,,,,,,,,,,,,,,,
Unnamed: 0,,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省,黑龙江省
2022,,62309,69960,116509,15901.0,3609.8,3710.9,1294.3,51096,102.7,102.4,3099,2052,1047,78.25,75.33,81.42,1.61,0.66
2021,,53091,58793,85791,14858.2,3463.4,3556.9,1228.4,47199,106.1,106.6,3125,2053,1072,78.25,75.33,81.42,1.46,0.66
2020,,53748,59153,79395,13633.4,3445.1,3534.6,997.0,42432,100.9,102.9,3171,2080,1091,78.25,75.33,81.42,1.33,0.66
2019,,46100,50726,66672,13544.4,3183.2,3268.2,1001.3,41156,104.0,102.4,3255,2103,1152,78.25,75.33,81.42,1.69,0.65
2018,,50265,54873,69493,12846.5,3001.2,3080.2,946.3,38199,104.5,103.7,3327,2111,1216,78.25,75.33,81.42,1.88,0.63
2017,,47322,60981,80414,12313.0,2965.3,3036.9,900.6,35887,106.0,104.5,3399,2104,1295,78.25,75.33,81.42,1.92,0.62
2016,,26644,37930,57116,11895.0,2751.2,2817.7,876.0,34025,104.4,104.2,3463,2116,1347,78.25,75.33,81.42,2.06,0.61
2015,,21844,32838,49972,11690.0,2712.2,2770.7,830.9,32759,105.4,105.1,3529,2134,1395,78.25,75.33,81.42,2.0,0.6
2014,,17734,28504,45135,12170.8,2691.0,2742.6,795.0,33464,105.3,105.6,3608,2137,1471,78.25,75.33,81.42,1.9,0.59
2013,,5682,16445,39955,11849.1,2539.6,2584.8,713.5,32068,107.6,104.7,3666,2128,1538,78.25,75.33,81.42,1.8,0.58
