,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.8,,,,,,,,,,,,,,,,,,
2021年,0.78,,,,,,,,,,,,,,,,,,
2020年,0.76,,,,,,,,,,,,,,,,,,
2019年,0.74,,,,,,,,,,,,,,,,,,
2018年,0.72,,,,,,,,,,,,,,,,,,
2017年,0.7,,,,,,,,,,,,,,,,,,
2016年,0.68,,,,,,,,,,,,,,,,,,
2015年,0.66,,,,,,,,,,,,,,,,,,
2014年,0.64,,,,,,,,,,,,,,,,,,
2013年,0.62,,,,,,,,,,,,,,,,,,
Unnamed: 0,,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市
2022,,6009,6361,189122,44652.8,97.0,104.9,5068.5,179907,99.8,96.5,2475,2211,264,82.55,80.39,84.87,0.08,0.89
2021,,5128,5399,165464,43653.2,96.1,105.7,5508.3,175420,108.3,91.6,2489,2223,266,82.55,80.39,84.87,0.07,0.89
2020,,5200,5482,161888,38963.3,107.7,116.7,4980.6,156803,101.7,92.3,2488,2222,266,82.55,80.39,84.87,0.07,0.89
2019,,5118,5384,142793,37987.6,107.1,113.3,5023.2,153299,106.0,95.2,2481,2214,267,82.55,80.39,84.87,0.07,0.89
2018,,5315,5593,127314,36011.8,104.8,112.4,4884.8,145767,106.8,90.2,2475,2206,269,82.55,80.39,84.87,0.07,0.89
2017,,6375,6755,165868,32925.0,110.8,115.1,4562.9,133489,107.0,99.2,2466,2197,269,82.55,80.39,84.87,0.1,0.89
2016,,6412,6791,159464,29887.0,114.3,118.3,4218.5,121369,106.9,87.6,2467,2196,271,82.55,80.39,84.87,0.11,0.89
2015,,6364,6737,153401,26887.0,125.5,129.7,3892.2,109186,107.0,95.1,2458,2176,282,82.55,80.39,84.87,0.08,0.89
2014,,6321,6689,148697,25269.8,132.0,136.3,3729.4,102827,107.1,101.7,2467,2203,264,82.55,80.39,84.87,0.09,0.89
2013,,3923,4281,145683,23204.1,131.6,136.0,3593.3,95746,107.9,97.8,2448,2193,255,82.55,80.39,84.87,0.11,0.9
