,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.6,,,,,,,,,,,,,,,,,,
2021年,1.55,,,,,,,,,,,,,,,,,,
2020年,1.5,,,,,,,,,,,,,,,,,,
2019年,1.45,,,,,,,,,,,,,,,,,,
2018年,1.4,,,,,,,,,,,,,,,,,,
2017年,1.35,,,,,,,,,,,,,,,,,,
2016年,1.3,,,,,,,,,,,,,,,,,,
2015年,1.25,,,,,,,,,,,,,,,,,,
2014年,1.2,,,,,,,,,,,,,,,,,,
2013年,1.15,,,,,,,,,,,,,,,,,,
Unnamed: 0,,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省
2022,,44551,55571,955561,122875.6,4959.4,5369.5,13350.7,144390,102.8,103.1,8515,6337,2178,79.32,77.02,81.83,0.61,0.74
2021,,44477,56489,904625,117392.4,4721.0,5073.7,13101.2,138255,108.9,103.1,8505,6289,2216,79.32,77.02,81.83,0.53,0.74
2020,,41935,55010,735916,102807.7,4537.6,4868.5,11210.6,121333,103.7,101.7,8477,6226,2251,79.32,77.02,81.83,0.61,0.73
2019,,39449,52735,678171,98656.8,4297.2,4611.9,10836.6,116650,105.9,101.6,8469,6137,2332,79.32,77.02,81.83,0.37,0.72
2018,,47000,61561,613999,93207.6,4141.7,4431.4,10139.3,110508,106.7,101.8,8446,6013,2433,79.32,77.02,81.83,0.47,0.71
2017,,49738,69105,723353,85869.8,4045.2,4314.5,9197.5,102202,107.2,100.4,8423,5911,2512,79.32,77.02,81.83,0.35,0.7
2016,,38894,56236,587718,77350.9,4039.8,4286.1,8447.9,92658,107.8,101.6,8381,5777,2604,79.32,77.02,81.83,0.44,0.69
2015,,28699,44605,466828,71255.9,3952.5,4175.9,7829.8,85871,108.6,103.3,8315,5612,2703,79.32,77.02,81.83,0.48,0.67
2014,,22794,37928,392798,64830.5,3607.4,3808.2,6559.0,78711,108.6,103.0,8281,5441,2840,79.32,77.02,81.83,0.45,0.66
2013,,24813,37756,299067,59349.4,3447.5,3623.7,6123.5,72768,109.7,108.2,8192,5275,2917,79.32,77.02,81.83,0.41,0.64
