,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,2.08,,,,,,,,,,,,,,,,,,
2021年,2.02,,,,,,,,,,,,,,,,,,
2020年,1.96,,,,,,,,,,,,,,,,,,
2019年,1.9,,,,,,,,,,,,,,,,,,
2018年,1.84,,,,,,,,,,,,,,,,,,
2017年,1.78,,,,,,,,,,,,,,,,,,
2016年,1.72,,,,,,,,,,,,,,,,,,
2015年,1.66,,,,,,,,,,,,,,,,,,
2014年,1.6,,,,,,,,,,,,,,,,,,
2013年,1.54,,,,,,,,,,,,,,,,,,
Unnamed: 0,,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省
2022,,48829,53653,907259,77715.4,2324.8,2397.0,9404.2,118496,103.1,103.2,6577,4826,1751,80.19,78.09,82.58,5.15,0.73
2021,,48320,52655,832468,74040.8,2211.7,2277.0,8749.5,113839,108.7,102.3,6540,4752,1788,80.19,78.09,82.58,5.02,0.73
2020,,48515,52432,754359,64689.1,2166.3,2221.4,7597.6,100738,103.6,101.2,6468,4668,1800,80.19,78.09,82.58,5.02,0.72
2019,,45729,48826,613479,62462.0,2086.7,2135.9,7360.2,98770,106.8,101.8,6375,4563,1812,80.19,78.09,82.58,6.56,0.72
2018,,48323,51007,465896,58002.8,1975.9,2019.3,6853.0,93230,107.1,101.8,6273,4392,1881,80.19,78.09,82.58,6.63,0.7
2017,,65778,71386,536211,52403.1,1933.9,1972.8,6323.6,85612,107.8,102.7,6170,4252,1918,80.19,78.09,82.58,16.35,0.69
2016,,62212,67211,430888,47254.0,1890.4,1925.5,5828.6,78384,107.5,102.3,6072,4112,1960,80.19,78.09,82.58,9.17,0.68
2015,,59534,64569,374162,43507.7,1771.4,1803.8,5290.6,73276,108.0,101.2,5985,3969,2016,80.19,78.09,82.58,8.79,0.66
2014,,57578,62483,335289,40023.5,1726.6,1756.0,4808.8,68569,107.7,101.3,5890,3826,2064,80.19,78.09,82.58,8.77,0.65
2013,,38757,42723,253594,37334.6,1718.7,1745.7,4457.5,65105,108.3,100.5,5784,3698,2086,80.19,78.09,82.58,8.0,0.64
