,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.04,,,,,,,,,,,,,,,,,,
2021年,1.01,,,,,,,,,,,,,,,,,,
2020年,0.98,,,,,,,,,,,,,,,,,,
2019年,0.95,,,,,,,,,,,,,,,,,,
2018年,0.92,,,,,,,,,,,,,,,,,,
2017年,0.89,,,,,,,,,,,,,,,,,,
2016年,0.86,,,,,,,,,,,,,,,,,,
2015年,0.83,,,,,,,,,,,,,,,,,,
2014年,0.8,,,,,,,,,,,,,,,,,,
2013年,0.77,,,,,,,,,,,,,,,,,,
Unnamed: 0,,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省
2022,,103129,124583,382064,45045.0,3513.7,3722.3,4240.8,73603,103.5,104.0,6127,3686,2441,77.96,75.52,80.72,1.85,0.6
2021,,98829,118485,346360,42565.2,3363.9,3548.7,4067.8,69676,108.2,107.4,6113,3631,2482,77.96,75.52,80.72,1.9,0.59
2020,,96705,115230,307510,38061.5,3185.0,3353.7,3538.3,62411,103.7,102.2,6105,3561,2544,77.96,75.52,80.72,1.7,0.58
2019,,91691,108730,252193,36845.5,2916.0,3069.2,3404.0,60561,107.3,103.4,6092,3474,2618,77.96,75.52,80.72,1.79,0.57
2018,,93115,109576,242064,34010.9,2638.0,2776.0,3184.0,56063,108.0,103.1,6076,3381,2695,77.96,75.52,80.72,2.1,0.56
2017,,93247,113629,230282,29676.2,2582.3,2707.3,2924.0,49092,108.6,104.1,6057,3288,2769,77.96,75.52,80.72,1.78,0.54
2016,,57486,74581,166351,26307.7,2489.8,2603.8,2656.3,43686,108.8,102.7,6033,3175,2858,77.96,75.52,80.72,1.74,0.53
2015,,51418,67845,136555,23831.2,2376.1,2467.3,2420.1,39692,108.7,104.2,6011,3064,2947,77.96,75.52,80.72,1.67,0.51
2014,,37105,51112,107659,22519.7,2295.0,2380.3,2204.1,37580,109.2,104.6,5997,2957,3040,77.96,75.52,80.72,1.94,0.49
2013,,13935,25842,82267,20584.0,2173.2,2250.3,1989.8,34404,110.3,103.3,5988,2866,3122,77.96,75.52,80.72,2.01,0.48
