,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.6,,,,,,,,,,,,,,,,,,
2021年,1.55,,,,,,,,,,,,,,,,,,
2020年,1.5,,,,,,,,,,,,,,,,,,
2019年,1.45,,,,,,,,,,,,,,,,,,
2018年,1.4,,,,,,,,,,,,,,,,,,
2017年,1.35,,,,,,,,,,,,,,,,,,
2016年,1.3,,,,,,,,,,,,,,,,,,
2015年,1.25,,,,,,,,,,,,,,,,,,
2014年,1.2,,,,,,,,,,,,,,,,,,
2013年,1.15,,,,,,,,,,,,,,,,,,
Unnamed: 0,,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省,福建省
2022,,65574,72500,594100,53109.9,3076.2,3191.9,6230.4,126829,104.7,103.7,4188,2937,1251,78.49,75.81,81.55,1.83,0.7
2021,,60339,66846,529008,49566.1,2899.9,3007.2,5634.2,118750,108.3,105.0,4187,2918,1269,78.49,75.81,81.55,1.79,0.7
2020,,54003,59673,404678,43608.6,2730.8,2831.8,4706.0,105106,103.2,103.1,4161,2861,1300,78.49,75.81,81.55,1.74,0.69
2019,,46383,51198,317460,42326.6,2595.5,2691.1,4422.9,102722,107.5,103.5,4137,2808,1329,78.49,75.81,81.55,1.65,0.68
2018,,42810,47123,236338,38687.8,2379.0,2464.3,3891.9,94719,108.3,103.4,4104,2749,1355,78.49,75.81,81.55,1.58,0.67
2017,,50706,55999,274120,33842.4,2215.1,2294.4,3426.5,83758,108.1,103.7,4065,2674,1391,78.49,75.81,81.55,1.45,0.66
2016,,43405,47858,230843,29609.4,2145.1,2221.0,3043.4,74024,108.4,103.0,4016,2586,1430,78.49,75.81,81.55,1.41,0.64
2015,,37796,41418,193733,26819.5,1932.8,2003.2,2747.4,67649,108.9,103.2,3984,2519,1465,78.49,75.81,81.55,1.36,0.63
2014,,30243,33397,155845,24942.1,1855.9,1920.7,2531.3,63709,109.9,103.6,3945,2446,1499,78.49,75.81,81.55,1.17,0.62
2013,,19741,22137,97491,22503.8,1745.2,1805.2,2256.6,58255,111.0,103.1,3885,2362,1523,78.49,75.81,81.55,1.09,0.61
