,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.96,,,,,,,,,,,,,,,,,,
2021年,0.93,,,,,,,,,,,,,,,,,,
2020年,0.9,,,,,,,,,,,,,,,,,,
2019年,0.87,,,,,,,,,,,,,,,,,,
2018年,0.84,,,,,,,,,,,,,,,,,,
2017年,0.81,,,,,,,,,,,,,,,,,,
2016年,0.78,,,,,,,,,,,,,,,,,,
2015年,0.75,,,,,,,,,,,,,,,,,,
2014年,0.72,,,,,,,,,,,,,,,,,,
2013年,0.69,,,,,,,,,,,,,,,,,,
Unnamed: 0,,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省,江西省
2022,,98597,109191,354064,32074.7,2451.5,2577.8,2844.5,70923,104.7,103.9,4528,2811,1717,77.64,75.08,80.52,1.71,0.62
2021,,81454,89753,242250,29827.8,2334.1,2438.0,2588.2,66020,108.9,105.1,4517,2776,1741,77.64,75.08,80.52,1.55,0.61
2020,,77906,86027,201735,25782.0,2243.8,2328.1,2185.8,57065,103.8,102.2,4519,2731,1788,77.64,75.08,80.52,2.29,0.6
2019,,64092,70862,137446,24667.3,2057.7,2135.8,2112.2,54640,107.9,103.1,4516,2668,1848,77.64,75.08,80.52,2.01,0.59
2018,,63469,70224,119751,22716.5,1877.3,1947.9,1942.3,50347,108.7,103.4,4513,2588,1925,77.64,75.08,80.52,1.82,0.57
2017,,60700,69269,134553,20210.8,1835.3,1898.5,1695.0,44878,108.8,104.4,4511,2513,1998,77.64,75.08,80.52,1.49,0.56
2016,,48568,55064,104265,18388.6,1794.1,1851.9,1397.7,40950,109.0,104.1,4496,2427,2069,77.64,75.08,80.52,1.58,0.54
2015,,35623,40974,80263,16780.9,1714.5,1773.9,1213.5,37436,109.1,103.9,4485,2346,2139,77.64,75.08,80.52,1.57,0.52
2014,,26282,31064,63083,15667.8,1626.9,1682.3,1114.0,34988,109.7,104.7,4480,2265,2215,77.64,75.08,80.52,1.56,0.51
2013,,14762,18842,44458,14300.2,1540.7,1591.7,1005.0,31952,110.1,108.3,4476,2195,2281,77.64,75.08,80.52,1.39,0.49
