,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.92,,,,,,,,,,,,,,,,,,
2021年,1.86,,,,,,,,,,,,,,,,,,
2020年,1.8,,,,,,,,,,,,,,,,,,
2019年,1.74,,,,,,,,,,,,,,,,,,
2018年,1.68,,,,,,,,,,,,,,,,,,
2017年,1.62,,,,,,,,,,,,,,,,,,
2016年,1.56,,,,,,,,,,,,,,,,,,
2015年,1.5,,,,,,,,,,,,,,,,,,
2014年,1.44,,,,,,,,,,,,,,,,,,
2013年,1.38,,,,,,,,,,,,,,,,,,
Unnamed: 0,,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省,山东省
2022,,150581,186582,1168922,87435.1,6298.6,6769.0,11819.1,86003,103.9,104.3,10163,6559,3604,79.18,76.46,82.11,0.83,0.65
2021,,141976,176234,1063047,82875.2,6029.0,6449.5,11537.1,81510,108.3,107.5,10170,6503,3667,79.18,76.46,82.11,0.83,0.64
2020,,127605,160524,906404,72798.2,5364.4,5750.1,9810.8,71825,103.5,102.7,10165,6409,3756,79.18,76.46,82.11,0.39,0.63
2019,,100155,125306,728784,70540.5,5117.0,5477.1,9564.8,69901,105.3,101.1,10106,6252,3854,79.18,76.46,82.11,0.44,0.62
2018,,105433,129659,598403,66648.9,4950.5,5273.9,8747.1,66284,106.3,102.7,10077,6193,3884,79.18,76.46,82.11,0.43,0.61
2017,,114194,140418,661406,63012.1,4832.7,5114.7,8057.1,62993,107.3,103.6,10033,6099,3934,79.18,76.46,82.11,0.46,0.61
2016,,86617,106857,543508,58762.5,4830.3,5072.3,7842.4,59239,107.4,103.8,9973,5897,4076,79.18,76.46,82.11,0.61,0.59
2015,,52579,69181,403965,55288.8,4902.8,5110.8,7306.6,56205,107.8,104.2,9866,5621,4245,79.18,76.46,82.11,0.64,0.57
2014,,34118,48678,310631,50774.8,4662.8,4857.3,6604.9,51933,108.5,103.8,9808,5372,4436,79.18,76.46,82.11,0.64,0.55
2013,,28072,40978,236206,47344.3,4454.1,4630.8,5843.5,48673,109.4,103.5,9746,5210,4536,79.18,76.46,82.11,0.62,0.53
