,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.76,,,,,,,,,,,,,,,,,,
2021年,1.71,,,,,,,,,,,,,,,,,,
2020年,1.66,,,,,,,,,,,,,,,,,,
2019年,1.61,,,,,,,,,,,,,,,,,,
2018年,1.56,,,,,,,,,,,,,,,,,,
2017年,1.51,,,,,,,,,,,,,,,,,,
2016年,1.46,,,,,,,,,,,,,,,,,,
2015年,1.41,,,,,,,,,,,,,,,,,,
2014年,1.36,,,,,,,,,,,,,,,,,,
2013年,1.31,,,,,,,,,,,,,,,,,,
Unnamed: 0,,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省
2022,,180056,220588,645383,61345.1,5817.8,6169.8,4496.5,62106,103.1,104.8,9872,5633,4239,77.6,74.59,80.84,4.84,0.57
2021,,159565,196302,610860,58071.4,5626.9,5915.4,4483.6,58587,106.0,106.4,9883,5579,4304,77.6,74.59,80.84,6.52,0.56
2020,,136573,171732,500883,54259.4,5354.0,5600.5,4128.3,54691,101.1,102.3,9941,5510,4431,77.6,74.59,80.84,6.89,0.55
2019,,122388,156664,415436,53717.8,4635.7,4860.7,4043.4,54356,106.8,102.4,9901,5348,4553,77.6,74.59,80.84,6.11,0.54
2018,,125178,160573,408979,49935.9,4311.1,4501.2,3698.0,50714,107.6,103.4,9864,5153,4711,77.6,74.59,80.84,6.14,0.52
2017,,76844,90759,257404,44824.9,4139.3,4310.6,3227.4,45723,107.8,104.3,9829,4970,4859,77.6,74.59,80.84,7.15,0.51
2016,,46778,58830,206121,40249.3,4063.6,4217.4,2940.5,41326,108.2,104.3,9778,4770,5008,77.6,74.59,80.84,8.78,0.49
2015,,45044,57527,172392,37084.1,4015.6,4154.4,2558.0,38338,108.4,104.4,9701,4561,5140,77.6,74.59,80.84,9.4,0.47
2014,,34473,45427,118451,34574.8,3988.2,4089.9,2296.2,35982,108.9,104.0,9645,4345,5300,77.6,74.59,80.84,9.54,0.45
2013,,15107,25807,99916,31632.5,3827.2,3913.5,2073.4,33114,109.0,104.2,9573,4174,5399,77.6,74.59,80.84,9.91,0.44
