,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.92,,,,,,,,,,,,,,,,,,
2021年,1.86,,,,,,,,,,,,,,,,,,
2020年,1.8,,,,,,,,,,,,,,,,,,
2019年,1.74,,,,,,,,,,,,,,,,,,
2018年,1.68,,,,,,,,,,,,,,,,,,
2017年,1.62,,,,,,,,,,,,,,,,,,
2016年,1.56,,,,,,,,,,,,,,,,,,
2015年,1.5,,,,,,,,,,,,,,,,,,
2014年,1.44,,,,,,,,,,,,,,,,,,
2013年,1.38,,,,,,,,,,,,,,,,,,
Unnamed: 0,,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省
2022,,99852,119182,423006,53734.9,4986.7,5321.9,3593.4,92059,104.3,103.8,5844,3779,2065,78.0,75.73,80.53,1.95,0.65
2021,,78645,95363,359049,50091.2,4635.2,4923.4,3438.8,86551,112.9,110.8,5830,3736,2094,78.0,75.73,80.53,1.96,0.64
2020,,67468,83408,314974,43004.5,4133.2,4359.0,2946.0,73687,94.6,100.0,5745,3613,2132,78.0,75.73,80.53,2.02,0.63
2019,,57579,72337,276174,45429.0,3809.4,4014.3,3347.1,76712,107.3,103.4,5927,3665,2262,78.0,75.73,80.53,2.29,0.62
2018,,55059,68990,257986,42022.0,3548.2,3734.3,3098.0,71097,107.8,102.9,5917,3609,2308,78.0,75.73,80.53,2.34,0.61
2017,,85154,98049,248575,37235.0,3529.0,3690.3,2819.3,63169,107.8,103.6,5904,3535,2369,78.0,75.73,80.53,2.78,0.6
2016,,64868,75829,207587,33353.0,3406.5,3527.9,2569.5,56844,108.1,103.9,5885,3447,2438,78.0,75.73,80.53,2.42,0.59
2015,,47658,57476,183287,30344.0,3109.9,3210.9,2394.0,52021,108.6,104.5,5850,3345,2505,78.0,75.73,80.53,2.74,0.57
2014,,35773,44612,151599,28242.1,3001.6,3080.6,2205.7,48635,109.7,104.8,5816,3241,2575,78.0,75.73,80.53,2.65,0.56
2013,,14459,22199,119635,25378.0,2883.7,2951.6,2013.7,43835,110.2,105.3,5798,3160,2638,78.0,75.73,80.53,2.33,0.55
