,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.92,,,,,,,,,,,,,,,,,,
2021年,1.86,,,,,,,,,,,,,,,,,,
2020年,1.8,,,,,,,,,,,,,,,,,,
2019年,1.74,,,,,,,,,,,,,,,,,,
2018年,1.68,,,,,,,,,,,,,,,,,,
2017年,1.62,,,,,,,,,,,,,,,,,,
2016年,1.56,,,,,,,,,,,,,,,,,,
2015年,1.5,,,,,,,,,,,,,,,,,,
2014年,1.44,,,,,,,,,,,,,,,,,,
2013年,1.38,,,,,,,,,,,,,,,,,,
Unnamed: 0,,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省
2022,,113262,140324,311644,48670.4,4602.7,4873.4,4787.1,73598,104.5,103.6,6604,3983,2621,77.88,75.36,80.75,1.61,0.6
2021,,67656,88916,215189,45713.5,4323.0,4561.5,4574.0,68913,107.6,109.3,6622,3954,2668,77.88,75.36,80.75,1.52,0.6
2020,,66175,87971,191685,41542.6,4240.7,4462.0,4062.9,62537,103.8,103.7,6645,3905,2740,77.88,75.36,80.75,1.25,0.59
2019,,56616,77090,150912,39894.1,3647.2,3850.5,4004.4,60104,107.6,103.2,6640,3815,2825,77.88,75.36,80.75,1.12,0.57
2018,,58724,79198,154878,36329.7,3084.2,3266.5,3705.4,54763,107.8,103.5,6635,3722,2913,77.88,75.36,80.75,1.02,0.56
2017,,60149,76768,161068,33828.1,2998.4,3165.3,3423.3,51030,108.0,103.6,6633,3623,3010,77.88,75.36,80.75,0.99,0.55
2016,,33665,45660,126236,30853.5,2915.6,3063.1,3141.5,46606,108.0,103.3,6625,3491,3134,77.88,75.36,80.75,1.29,0.53
2015,,25373,35753,97477,28538.6,2747.9,2878.9,2884.8,43155,108.5,103.6,6615,3360,3255,77.88,75.36,80.75,1.3,0.51
2014,,15675,22396,90441,25881.3,2671.0,2793.1,2619.0,39181,109.5,104.5,6611,3238,3373,77.88,75.36,80.75,1.27,0.49
2013,,14170,21150,91397,23545.2,2589.2,2702.1,2356.6,35702,110.1,102.7,6600,3144,3456,77.88,75.36,80.75,1.18,0.48
