,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,3.36,,,,,,,,,,,,,,,,,,
2021年,3.26,,,,,,,,,,,,,,,,,,
2020年,3.16,,,,,,,,,,,,,,,,,,
2019年,3.06,,,,,,,,,,,,,,,,,,
2018年,2.96,,,,,,,,,,,,,,,,,,
2017年,2.86,,,,,,,,,,,,,,,,,,
2016年,2.76,,,,,,,,,,,,,,,,,,
2015年,2.66,,,,,,,,,,,,,,,,,,
2014年,2.56,,,,,,,,,,,,,,,,,,
2013年,2.46,,,,,,,,,,,,,,,,,,
Unnamed: 0,,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省
2022,,45057,53402,1201165,129118.6,5340.4,5531.6,12319.7,101905,101.9,105.2,12657,9465,3192,79.31,76.75,82.22,3.27,0.75
2021,,41389,49051,1135372,124719.5,4984.7,5151.3,12102.1,98561,108.1,107.8,12684,9466,3218,79.31,76.75,82.22,4.04,0.75
2020,,40563,48290,1097327,111151.6,4732.7,4880.8,10729.0,88521,102.3,103.7,12624,9361,3263,79.31,76.75,82.22,2.56,0.74
2019,,38120,45448,1043904,107986.9,4350.6,4478.3,11000.2,86956,106.2,103.8,12489,9073,3416,79.31,76.75,82.22,2.57,0.73
2018,,34804,41923,966082,99945.2,3836.4,3948.9,10476.0,81625,106.8,104.4,12348,8867,3481,79.31,76.75,82.22,2.43,0.72
2017,,37645,47531,607193,91648.7,3611.4,3712.7,9642.1,76218,107.5,103.6,12141,8589,3552,79.31,76.75,82.22,2.26,0.71
2016,,31784,41000,434221,82163.2,3500.5,3593.6,8924.7,69671,107.5,103.1,11908,8353,3555,79.31,76.75,82.22,2.15,0.7
2015,,27876,37250,391401,74732.4,3189.8,3275.1,8030.9,64516,108.0,103.4,11678,8117,3561,79.31,76.75,82.22,2.05,0.7
2014,,23233,32259,354617,68173.0,3038.7,3118.4,7946.3,59909,107.8,103.3,11489,7884,3605,79.31,76.75,82.22,1.92,0.69
2013,,14519,23045,291131,62503.4,2876.4,2950.0,7404.6,56029,108.5,102.4,11270,7674,3596,79.31,76.75,82.22,1.77,0.68
