,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,2.08,,,,,,,,,,,,,,,,,,
2021年,2.02,,,,,,,,,,,,,,,,,,
2020年,1.96,,,,,,,,,,,,,,,,,,
2019年,1.9,,,,,,,,,,,,,,,,,,
2018年,1.84,,,,,,,,,,,,,,,,,,
2017年,1.78,,,,,,,,,,,,,,,,,,
2016年,1.72,,,,,,,,,,,,,,,,,,
2015年,1.66,,,,,,,,,,,,,,,,,,
2014年,1.6,,,,,,,,,,,,,,,,,,
2013年,1.54,,,,,,,,,,,,,,,,,,
Unnamed: 0,,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区,广西壮族自治区
2022,,86986,95980,250762,26300.9,4269.8,4404.2,2156.3,52164,102.9,105.0,5047,2809,2238,78.06,74.64,81.98,2.82,0.56
2021,,83339,92537,225206,25209.1,4051.3,4174.0,2079.1,50137,107.9,108.7,5037,2774,2263,78.06,74.64,81.98,2.64,0.55
2020,,81140,89695,196525,22120.9,3645.9,3757.3,1829.3,44237,103.7,105.4,5019,2720,2299,78.06,74.64,81.98,2.6,0.54
2019,,75901,83239,165974,21237.1,3389.7,3493.9,1759.0,42778,106.0,105.6,4982,2639,2343,78.06,74.64,81.98,1.84,0.53
2018,,74408,81016,142714,19627.8,3021.1,3116.4,1607.6,39837,106.8,105.5,4947,2564,2383,78.06,74.64,81.98,1.61,0.52
2017,,77842,85439,153421,17790.7,2878.3,2964.7,1485.8,36441,107.1,104.2,4907,2482,2425,78.06,74.64,81.98,1.5,0.51
2016,,69902,76497,131838,16116.6,2800.3,2877.0,1351.0,33340,107.0,103.4,4857,2392,2465,78.06,74.64,81.98,1.42,0.49
2015,,56320,61108,106962,14797.8,2565.5,2633.0,1252.5,30890,107.9,103.9,4811,2309,2502,78.06,74.64,81.98,1.36,0.48
2014,,45757,49601,84623,13587.8,2413.4,2473.9,1178.7,28603,108.3,103.9,4770,2220,2550,78.06,74.64,81.98,1.31,0.47
2013,,24217,27508,64262,12448.4,2290.6,2343.6,1133.4,26416,110.0,104.0,4731,2134,2597,78.06,74.64,81.98,1.24,0.45
