,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.4,,,,,,,,,,,,,,,,,,
2021年,0.39,,,,,,,,,,,,,,,,,,
2020年,0.38,,,,,,,,,,,,,,,,,,
2019年,0.37,,,,,,,,,,,,,,,,,,
2018年,0.36,,,,,,,,,,,,,,,,,,
2017年,0.35,,,,,,,,,,,,,,,,,,
2016年,0.34,,,,,,,,,,,,,,,,,,
2015年,0.33,,,,,,,,,,,,,,,,,,
2014年,0.32,,,,,,,,,,,,,,,,,,
2013年,0.31,,,,,,,,,,,,,,,,,,
Unnamed: 0,,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省
2022,,12455,13914,53469,6818.2,1417.8,1471.4,958.8,66602,100.2,103.1,1027,631,396,79.05,75.83,82.84,0.12,0.61
2021,,12041,13333,45597,6504.1,1254.4,1300.7,956.2,63991,111.3,103.9,1020,622,398,79.05,75.83,82.84,0.11,0.61
2020,,11535,12577,29772,5566.2,1136.0,1178.4,669.8,55438,103.5,102.0,1012,610,402,79.05,75.83,82.84,0.12,0.6
2019,,11343,12295,25360,5330.8,1079.0,1118.0,546.6,53929,105.8,102.5,995,591,404,79.05,75.83,82.84,0.11,0.59
2018,,12389,13262,22146,4910.7,986.0,1020.2,464.2,50263,105.8,103.8,982,581,401,79.05,75.83,82.84,0.11,0.59
2017,,11912,12992,21265,4497.5,962.8,993.3,466.7,46631,107.0,103.6,972,564,408,79.05,75.83,82.84,0.13,0.58
2016,,10899,11876,18000,4090.2,924.7,951.6,442.8,43009,107.5,104.2,957,543,414,79.05,75.83,82.84,0.1,0.57
2015,,10167,11045,15881,3734.2,835.4,859.3,425.8,39704,107.8,105.4,945,519,426,79.05,75.83,82.84,0.1,0.55
2014,,9122,9897,12427,3449.0,793.2,814.7,386.9,37166,108.6,104.8,936,499,437,79.05,75.83,82.84,0.09,0.53
2013,,3175,3891,10880,3115.9,723.6,742.7,339.5,34053,109.6,106.3,920,481,439,79.05,75.83,82.84,0.07,0.52
