,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.04,,,,,,,,,,,,,,,,,,
2021年,1.01,,,,,,,,,,,,,,,,,,
2020年,0.98,,,,,,,,,,,,,,,,,,
2019年,0.95,,,,,,,,,,,,,,,,,,
2018年,0.92,,,,,,,,,,,,,,,,,,
2017年,0.89,,,,,,,,,,,,,,,,,,
2016年,0.86,,,,,,,,,,,,,,,,,,
2015年,0.83,,,,,,,,,,,,,,,,,,
2014年,0.8,,,,,,,,,,,,,,,,,,
2013年,0.77,,,,,,,,,,,,,,,,,,
Unnamed: 0,,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市
2022,,88054,94654,232551,29129.0,2012.1,2058.6,2816.7,90663,102.6,104.0,3213,2280,933,78.56,75.86,81.64,2.23,0.71
2021,,84170,89461,215801,28077.3,1921.9,1963.3,2695.7,87450,108.4,107.8,3212,2259,953,78.56,75.86,81.64,2.21,0.7
2020,,78978,83236,190309,25041.4,1803.5,1837.0,2332.6,78294,103.9,104.6,3209,2229,980,78.56,75.86,81.64,2.35,0.69
2019,,74990,78687,174491,23605.8,1551.6,1581.3,2192.1,74337,106.3,103.5,3188,2175,1013,78.56,75.86,81.64,2.08,0.68
2018,,80653,84116,176115,21588.8,1378.7,1405.4,2024.6,68460,106.0,104.4,3163,2107,1056,78.56,75.86,81.64,2.2,0.67
2017,,105628,111669,166014,20066.3,1276.1,1300.3,1955.1,64171,109.3,104.0,3144,2044,1100,78.56,75.86,81.64,2.3,0.65
2016,,93974,99522,148631,18023.0,1237.0,1258.4,1703.4,58327,110.7,104.7,3110,1970,1140,78.56,75.86,81.64,2.01,0.63
2015,,76130,80942,125316,16040.5,1067.7,1086.2,1462.2,52480,111.0,104.8,3070,1887,1183,78.56,75.86,81.64,1.9,0.61
2014,,55400,59258,104519,14623.8,990.8,1006.4,1311.2,48311,110.9,104.4,3043,1818,1225,78.56,75.86,81.64,1.79,0.6
2013,,38591,41484,80603,13027.6,941.2,955.3,1171.5,43527,112.3,104.7,3011,1755,1256,78.56,75.86,81.64,1.57,0.58
