,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,2.72,,,,,,,,,,,,,,,,,,
2021年,2.64,,,,,,,,,,,,,,,,,,
2020年,2.56,,,,,,,,,,,,,,,,,,
2019年,2.48,,,,,,,,,,,,,,,,,,
2018年,2.4,,,,,,,,,,,,,,,,,,
2017年,2.32,,,,,,,,,,,,,,,,,,
2016年,2.24,,,,,,,,,,,,,,,,,,
2015年,2.16,,,,,,,,,,,,,,,,,,
2014年,2.08,,,,,,,,,,,,,,,,,,
2013年,2.0,,,,,,,,,,,,,,,,,,
Unnamed: 0,,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省,四川省
2022,,138252,148381,392191,56749.8,5964.3,6133.1,5132.1,67777,102.9,104.3,8374,4886,3488,77.79,75.01,80.93,6.49,0.58
2021,,95172,101202,227826,54088.0,5662.0,5818.1,4924.8,64610,108.2,107.0,8372,4841,3531,77.79,75.01,80.93,6.27,0.58
2020,,93708,99709,216758,48501.6,5556.9,5701.2,4299.5,58009,103.8,105.1,8371,4749,3622,77.79,75.01,80.93,6.27,0.57
2019,,87763,93884,192114,46363.8,4807.5,4938.0,4243.8,55619,107.4,102.8,8351,4623,3728,77.79,75.01,80.93,5.53,0.55
2018,,87331,93383,187084,42902.1,4427.4,4544.3,3835.5,51658,108.0,103.6,8321,4452,3869,77.79,75.01,80.93,5.43,0.54
2017,,71812,78902,116118,37905.1,4262.5,4365.3,3432.3,45835,108.1,103.8,8289,4292,3997,77.79,75.01,80.93,5.77,0.52
2016,,47437,53836,93544,33138.5,3900.6,3991.9,2760.3,40297,107.8,103.8,8251,4126,4126,77.79,75.01,80.93,4.88,0.5
2015,,35213,40698,80348,30342.0,3661.0,3745.5,2360.0,37150,107.9,103.8,8196,3956,4240,77.79,75.01,80.93,4.8,0.48
2014,,27765,32780,71240,28891.3,3524.7,3598.7,2083.2,35563,108.5,103.8,8139,3785,4354,77.79,75.01,80.93,4.72,0.47
2013,,18954,23412,56653,26518.0,3257.4,3323.6,1831.4,32750,110.0,103.5,8109,3646,4463,77.79,75.01,80.93,4.54,0.45
