,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.28,,,,,,,,,,,,,,,,,,
2021年,1.24,,,,,,,,,,,,,,,,,,
2020年,1.2,,,,,,,,,,,,,,,,,,
2019年,1.16,,,,,,,,,,,,,,,,,,
2018年,1.12,,,,,,,,,,,,,,,,,,
2017年,1.08,,,,,,,,,,,,,,,,,,
2016年,1.04,,,,,,,,,,,,,,,,,,
2015年,1.0,,,,,,,,,,,,,,,,,,
2014年,0.96,,,,,,,,,,,,,,,,,,
2013年,0.92,,,,,,,,,,,,,,,,,,
Unnamed: 0,,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省
2022,,130141,134015,191704,20164.6,2861.2,3020.4,1582.2,52321,101.2,103.6,3856,2114,1742,75.2,72.09,78.71,0.36,0.55
2021,,114693,117625,151240,19458.6,2730.9,2877.7,1562.5,50476,108.1,107.7,3852,2093,1759,75.2,72.09,78.71,0.39,0.54
2020,,108209,110156,119765,17860.4,2539.9,2675.6,1386.8,46355,104.5,106.3,3858,2051,1807,75.2,72.09,78.71,0.43,0.53
2019,,102105,103737,97150,16769.3,2280.6,2408.0,1269.9,43727,108.3,105.7,3848,1981,1867,75.2,72.09,78.71,0.4,0.51
2018,,106675,108163,91682,15353.2,2156.0,2273.0,1181.2,40271,109.1,106.8,3822,1893,1929,75.2,72.09,78.71,0.38,0.5
2017,,97661,100143,94259,13605.4,2032.3,2140.0,1040.1,35988,110.2,106.3,3803,1816,1987,75.2,72.09,78.71,0.36,0.48
2016,,69148,71134,65613,11792.4,1861.8,1959.9,893.7,31589,110.5,106.0,3758,1712,2046,75.2,72.09,78.71,0.31,0.46
2015,,44992,46519,47828,10541.0,1642.0,1714.0,790.6,28547,110.7,106.5,3708,1593,2115,75.2,72.09,78.71,0.3,0.43
2014,,30956,32131,36267,9173.1,1281.5,1317.2,733.7,25101,110.8,106.6,3677,1480,2197,75.2,72.09,78.71,0.25,0.4
2013,,11213,12280,28382,7973.1,999.3,1032.6,647.9,22089,112.4,105.8,3632,1376,2256,75.2,72.09,78.71,0.25,0.38
