,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.92,,,,,,,,,,,,,,,,,,
2021年,1.86,,,,,,,,,,,,,,,,,,
2020年,1.8,,,,,,,,,,,,,,,,,,
2019年,1.74,,,,,,,,,,,,,,,,,,
2018年,1.68,,,,,,,,,,,,,,,,,,
2017年,1.62,,,,,,,,,,,,,,,,,,
2016年,1.56,,,,,,,,,,,,,,,,,,
2015年,1.5,,,,,,,,,,,,,,,,,,
2014年,1.44,,,,,,,,,,,,,,,,,,
2013年,1.38,,,,,,,,,,,,,,,,,,
Unnamed: 0,,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省
2022,,107710,115316,224315,28954.2,4012.2,4090.1,2990.7,61716,104.3,104.9,4693,2427,2266,74.02,70.98,77.55,1.17,0.52
2021,,95201,101889,214255,27161.6,3831.3,3902.5,2831.9,57717,107.3,107.9,4690,2394,2296,74.02,70.98,77.55,1.29,0.51
2020,,97737,104282,203469,24555.7,3611.8,3674.5,2476.7,52047,104.0,105.7,4722,2363,2359,74.02,70.98,77.55,1.0,0.5
2019,,85592,91192,151415,23223.8,3037.7,3096.2,2386.2,49323,108.1,105.5,4714,2294,2420,74.02,70.98,77.55,1.14,0.49
2018,,82789,87953,141696,20880.6,2498.7,2552.6,2187.3,44446,108.9,106.3,4703,2231,2472,74.02,70.98,77.55,1.2,0.47
2017,,103864,109423,166569,18486.0,2338.4,2388.6,1941.1,39458,109.5,106.1,4693,2172,2521,74.02,70.98,77.55,1.12,0.46
2016,,72197,78056,127986,16369.0,2225.5,2272.6,1732.5,35051,108.7,105.6,4677,2088,2589,74.02,70.98,77.55,1.12,0.45
2015,,54454,59970,99551,14960.0,2079.3,2121.8,1583.3,32117,108.7,105.9,4663,2002,2661,74.02,70.98,77.55,1.02,0.43
2014,,31186,36078,66547,14041.7,2007.4,2045.4,1469.8,30217,108.1,106.2,4653,1918,2735,74.02,70.98,77.55,0.98,0.41
2013,,19907,24359,41751,12825.5,1878.5,1912.8,1345.8,27665,112.2,106.8,4641,1856,2785,74.02,70.98,77.55,0.73,0.4
