,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.16,,,,,,,,,,,,,,,,,,
2021年,0.16,,,,,,,,,,,,,,,,,,
2020年,0.15,,,,,,,,,,,,,,,,,,
2019年,0.15,,,,,,,,,,,,,,,,,,
2018年,0.14,,,,,,,,,,,,,,,,,,
2017年,0.14,,,,,,,,,,,,,,,,,,
2016年,0.13,,,,,,,,,,,,,,,,,,
2015年,0.13,,,,,,,,,,,,,,,,,,
2014年,0.12,,,,,,,,,,,,,,,,,,
2013年,0.12,,,,,,,,,,,,,,,,,,
Unnamed: 0,,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区
2022,,3123,3615,8241,2132.6,180.2,185.0,101.6,58438,101.1,106.2,364,136,228,72.19,70.27,74.75,0.0,0.37
2021,,3055,3520,7944,2080.2,164.1,168.5,112.7,56831,106.7,107.3,366,134,232,72.19,70.27,74.75,0.0,0.37
2020,,2533,2871,7233,1902.7,150.3,154.4,99.9,52280,107.8,107.7,366,131,235,72.19,70.27,74.75,0.01,0.36
2019,,2498,2830,7132,1697.8,138.2,142.1,104.5,47491,108.1,104.6,361,125,236,72.19,70.27,74.75,0.01,0.35
2018,,2533,2852,7292,1548.4,128.3,132.2,95.5,44051,108.9,102.7,354,120,234,72.19,70.27,74.75,0.0,0.34
2017,,589,643,2373,1349.0,118.2,121.5,87.8,39158,110.0,104.1,349,116,233,72.19,70.27,74.75,0.0,0.33
2016,,575,627,2488,1173.0,110.5,113.6,80.5,35015,110.1,104.5,340,107,233,72.19,70.27,74.75,0.0,0.31
2015,,570,617,2471,1043.0,93.6,96.2,76.3,31847,111.0,103.7,330,95,235,72.19,70.27,74.75,0.0,0.29
2014,,568,615,2253,939.7,88.1,90.4,71.9,29275,110.8,104.2,325,85,240,72.19,70.27,74.75,0.0,0.26
2013,,39,82,1913,828.2,81.2,83.4,65.1,26209,112.1,103.8,317,76,241,72.19,70.27,74.75,0.01,0.24
