,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.96,,,,,,,,,,,,,,,,,,
2021年,0.93,,,,,,,,,,,,,,,,,,
2020年,0.9,,,,,,,,,,,,,,,,,,
2019年,0.87,,,,,,,,,,,,,,,,,,
2018年,0.84,,,,,,,,,,,,,,,,,,
2017年,0.81,,,,,,,,,,,,,,,,,,
2016年,0.78,,,,,,,,,,,,,,,,,,
2015年,0.75,,,,,,,,,,,,,,,,,,
2014年,0.72,,,,,,,,,,,,,,,,,,
2013年,0.69,,,,,,,,,,,,,,,,,,
Unnamed: 0,,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省
2022,,66540,75521,250288,32772.7,2575.3,2710.6,2103.3,82864,104.3,104.3,3956,2532,1424,77.8,75.59,80.24,1.33,0.64
2021,,57482,64542,187663,30121.7,2409.9,2532.5,2040.0,76171,106.6,106.3,3954,2516,1438,77.8,75.59,80.24,1.17,0.64
2020,,55017,61675,175186,26014.1,2267.7,2381.8,1842.5,65867,102.1,103.3,3955,2478,1477,77.8,75.59,80.24,0.81,0.63
2019,,48581,54499,149543,25793.2,1991.1,2098.2,1872.4,65506,106.0,104.4,3944,2417,1527,77.8,75.59,80.24,0.69,0.61
2018,,50504,56549,147183,23941.9,1830.2,1927.8,1734.5,61115,108.1,103.3,3931,2345,1586,77.8,75.59,80.24,0.57,0.6
2017,,50032,55119,117082,21473.5,1741.1,1830.6,1606.7,55216,107.8,104.6,3904,2267,1637,77.8,75.59,80.24,0.56,0.58
2016,,34114,38039,98536,19045.8,1696.1,1778.9,1473.2,49341,107.5,104.0,3874,2185,1689,77.8,75.59,80.24,0.74,0.56
2015,,26498,29688,87319,17898.8,1599.7,1675.6,1390.9,46654,107.7,105.1,3846,2105,1741,77.8,75.59,80.24,0.66,0.55
2014,,18798,21203,70968,17402.5,1566.9,1637.8,1316.2,45610,109.6,105.1,3827,2029,1798,77.8,75.59,80.24,0.63,0.53
2013,,9489,11430,55337,15905.4,1463.5,1528.6,1209.7,41906,110.5,104.6,3804,1962,1842,77.8,75.59,80.24,0.53,0.52
