,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.64,,,,,,,,,,,,,,,,,,
2021年,0.62,,,,,,,,,,,,,,,,,,
2020年,0.6,,,,,,,,,,,,,,,,,,
2019年,0.58,,,,,,,,,,,,,,,,,,
2018年,0.56,,,,,,,,,,,,,,,,,,
2017年,0.54,,,,,,,,,,,,,,,,,,
2016年,0.52,,,,,,,,,,,,,,,,,,
2015年,0.5,,,,,,,,,,,,,,,,,,
2014年,0.48,,,,,,,,,,,,,,,,,,
2013年,0.46,,,,,,,,,,,,,,,,,,
Unnamed: 0,,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省
2022,,76857,82186,99167,11201.6,1515.3,1561.3,795.6,44968,104.5,105.7,2492,1351,1141,75.64,73.64,77.85,0.75,0.54
2021,,66768,71227,75357,10225.5,1364.8,1406.8,763.7,40976,106.9,110.1,2490,1328,1162,75.64,73.64,77.85,0.61,0.53
2020,,61979,66112,62709,8979.7,1188.1,1227.3,662.1,35848,103.8,105.3,2501,1306,1195,75.64,73.64,77.85,0.55,0.52
2019,,53275,56833,52004,8718.3,1059.3,1097.2,646.3,34707,106.2,105.8,2509,1272,1237,75.64,73.64,77.85,0.49,0.51
2018,,68211,72439,58213,8104.1,926.1,962.3,587.6,32178,106.1,104.9,2515,1250,1265,75.64,73.64,77.85,0.39,0.5
2017,,36953,40473,43777,7336.7,859.8,896.0,540.6,29103,103.5,105.4,2522,1214,1308,75.64,73.64,77.85,0.22,0.48
2016,,33488,36639,40691,6907.9,800.8,834.5,516.6,27396,107.6,105.5,2520,1161,1359,75.64,73.64,77.85,0.19,0.46
2015,,30093,32849,36704,6556.6,733.4,780.7,490.3,25946,108.2,105.3,2523,1116,1407,75.64,73.64,77.85,0.17,0.44
2014,,23298,25308,31611,6518.4,695.8,739.7,475.8,25724,109.0,105.5,2531,1070,1461,75.64,73.64,77.85,0.15,0.42
2013,,6807,8646,25811,6014.5,658.1,698.3,445.6,23647,111.3,105.4,2537,1027,1510,75.64,73.64,77.85,0.12,0.4
