,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.24,,,,,,,,,,,,,,,,,,
2021年,0.23,,,,,,,,,,,,,,,,,,
2020年,0.22,,,,,,,,,,,,,,,,,,
2019年,0.21,,,,,,,,,,,,,,,,,,
2018年,0.2,,,,,,,,,,,,,,,,,,
2017年,0.19,,,,,,,,,,,,,,,,,,
2016年,0.18,,,,,,,,,,,,,,,,,,
2015年,0.17,,,,,,,,,,,,,,,,,,
2014年,0.16,,,,,,,,,,,,,,,,,,
2013年,0.15,,,,,,,,,,,,,,,,,,
Unnamed: 0,,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省
2022,,20901,21692,28594,3610.1,380.2,385.0,171.1,60724,102.3,104.5,595,366,229,73.96,71.72,76.43,0.01,0.62
2021,,19656,20292,24627,3385.1,353.6,358.2,194.0,57036,105.8,104.6,594,362,232,73.96,71.72,76.43,0.02,0.61
2020,,18304,18810,22228,3009.8,338.0,342.3,167.3,50845,101.5,104.6,593,356,237,73.96,71.72,76.43,0.01,0.6
2019,,18227,18722,18736,2941.1,301.9,306.0,160.8,49976,106.1,104.6,590,347,243,73.96,71.72,76.43,0.02,0.59
2018,,18633,19127,17087,2748.0,268.1,272.0,150.9,46854,107.1,104.5,587,336,251,73.96,71.72,76.43,0.16,0.57
2017,,21704,22588,24311,2465.1,238.4,242.0,145.0,42211,107.2,104.9,586,325,261,73.96,71.72,76.43,0.15,0.55
2016,,12481,13096,11215,2258.2,221.2,224.7,141.2,38968,107.8,105.4,582,312,270,73.96,71.72,76.43,0.15,0.54
2015,,10705,11249,9654,2011.0,208.9,212.2,132.1,34883,108.2,105.1,577,298,279,73.96,71.72,76.43,0.15,0.52
2014,,8954,9446,8169,1847.7,215.9,219.0,123.2,32218,109.2,105.2,576,293,283,73.96,71.72,76.43,0.15,0.51
2013,,2581,3026,5312,1713.3,204.7,207.6,114.2,30005,110.8,105.3,571,281,290,73.96,71.72,76.43,0.15,0.49
