,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.24,,,,,,,,,,,,,,,,,,
2021年,0.23,,,,,,,,,,,,,,,,,,
2020年,0.22,,,,,,,,,,,,,,,,,,
2019年,0.21,,,,,,,,,,,,,,,,,,
2018年,0.2,,,,,,,,,,,,,,,,,,
2017年,0.19,,,,,,,,,,,,,,,,,,
2016年,0.18,,,,,,,,,,,,,,,,,,
2015年,0.17,,,,,,,,,,,,,,,,,,
2014年,0.16,,,,,,,,,,,,,,,,,,
2013年,0.15,,,,,,,,,,,,,,,,,,
Unnamed: 0,,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区
2022,,20199,21978,44572,5069.6,407.5,428.5,218.8,69781,104.0,104.7,728,483,245,76.58,74.89,78.4,0.07,0.66
2021,,20902,22546,43244,4588.2,364.6,383.7,210.7,63461,106.8,104.7,725,479,246,76.58,74.89,78.4,0.06,0.66
2020,,18974,20259,35299,3956.3,338.1,356.3,194.3,55021,103.9,103.3,721,468,253,76.58,74.89,78.4,0.06,0.65
2019,,17361,18486,29111,3748.5,280.0,297.7,202.3,52537,106.5,103.2,717,456,261,76.58,74.89,78.4,0.14,0.64
2018,,16098,16945,18271,3510.2,279.4,296.1,190.2,49614,106.8,104.0,710,441,269,76.58,74.89,78.4,0.11,0.62
2017,,13909,15556,24055,3200.3,250.6,266.3,173.5,45718,107.3,104.4,705,430,275,76.58,74.89,78.4,0.11,0.61
2016,,11695,13506,20956,2781.4,241.0,255.7,154.0,40339,107.4,104.5,695,408,287,76.58,74.89,78.4,0.1,0.59
2015,,8796,10336,16248,2579.4,236.8,250.7,143.8,37876,108.0,104.6,684,390,294,76.58,74.89,78.4,0.1,0.57
2014,,6678,7846,12454,2473.9,216.9,229.6,146.1,36815,108.0,105.5,678,372,306,76.58,74.89,78.4,0.1,0.55
2013,,2473,3570,10963,2327.7,210.7,222.2,139.1,35135,109.8,104.3,666,352,314,76.58,74.89,78.4,0.1,0.53
