,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.8,,,,,,,,,,,,,,,,,,
2021年,0.78,,,,,,,,,,,,,,,,,,
2020年,0.76,,,,,,,,,,,,,,,,,,
2019年,0.74,,,,,,,,,,,,,,,,,,
2018年,0.72,,,,,,,,,,,,,,,,,,
2017年,0.7,,,,,,,,,,,,,,,,,,
2016年,0.68,,,,,,,,,,,,,,,,,,
2015年,0.66,,,,,,,,,,,,,,,,,,
2014年,0.64,,,,,,,,,,,,,,,,,,
2013年,0.62,,,,,,,,,,,,,,,,,,
Unnamed: 0,,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区,新疆维吾尔自治区
2022,,30928,40475,126700,17741.3,2509.3,2654.6,784.4,68552,103.2,105.3,2587,1498,1089,75.65,73.66,77.89,1.55,0.58
2021,,26256,34096,101851,16311.6,2359.1,2488.4,796.5,62991,107.2,108.0,2589,1482,1107,75.65,73.66,77.89,1.61,0.57
2020,,24392,31588,88141,13800.7,1981.3,2098.2,685.0,53606,103.4,104.3,2590,1464,1126,75.65,73.66,77.89,1.73,0.57
2019,,20421,26125,68208,13597.1,1781.8,1888.4,770.5,53542,106.2,105.2,2559,1421,1138,75.65,73.66,77.89,1.76,0.56
2018,,20779,26326,65814,12809.4,1692.1,1791.0,742.6,51238,106.1,104.7,2520,1361,1159,75.65,73.66,77.89,1.96,0.54
2017,,17203,22757,66172,11159.9,1551.8,1640.3,704.7,45476,107.6,104.6,2480,1287,1193,75.65,73.66,77.89,0.94,0.52
2016,,15365,20806,58857,9630.8,1473.2,1554.0,588.3,40020,107.5,104.9,2428,1224,1204,75.65,73.66,77.89,0.99,0.5
2015,,12622,17640,50653,9306.9,1409.7,1479.8,525.2,39520,108.8,106.1,2385,1163,1222,75.65,73.66,77.89,1.1,0.49
2014,,11065,15907,43201,9264.5,1406.7,1466.6,552.2,40193,110.0,105.7,2325,1088,1237,75.65,73.66,77.89,0.97,0.47
2013,,3842,8342,31535,8392.6,1326.6,1378.8,560.5,36988,111.0,107.7,2285,1027,1258,75.65,73.66,77.89,1.28,0.45
