,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.2,,,,,,,,,,,,,,,,,,
2021年,0.2,,,,,,,,,,,,,,,,,,
2020年,0.202658,,,,,,,,,,,,,,,,,,
2019年,0.202749,,,,,,,,,,,,,,,,,,
2018年,0.205674,,,,,,,,,,,,,,,,,,
2017年,0.205882,,,,,,,,,,,,,,,,,,
2016年,0.209125,,,,,,,,,,,,,,,,,,
2015年,0.209486,,,,,,,,,,,,,,,,,,
2014年,0.213115,,,,,,,,,,,,,,,,,,
2013年,0.213675,,,,,,,,,,,,,,,,,,
Unnamed: 0,,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市,北京市
2022,,0.023896,0.019357,0.279162,0.310887,0.002338,0.00123,0.227087,1.0,0.393939,0.195876,0.148052,0.190481,0.016848,0.994208,1.0,0.975296,0.013867,0.980769
2021,,0.025436,0.020619,0.278727,0.317724,0.002579,0.001214,0.232051,1.0,0.422535,0.583333,0.147995,0.190956,0.015869,0.994208,1.0,0.975296,0.015337,0.980769
2020,,0.032266,0.026318,0.275906,0.311588,0.00011,0.0,0.246645,1.0,0.492424,0.0,0.148719,0.193391,0.014458,0.994208,1.0,0.975296,0.017442,0.981132
2019,,0.034615,0.02779,0.243287,0.317505,0.001457,0.000671,0.253586,1.0,0.584906,0.0,0.150808,0.199821,0.013838,0.994208,1.0,0.975296,0.016794,0.962963
2018,,0.04226,0.033458,0.277532,0.320718,0.003261,0.001976,0.262858,1.0,0.578947,0.46988,0.153243,0.204527,0.013589,0.994208,1.0,0.975296,0.015083,0.963636
2017,,0.074108,0.063323,0.288063,0.315992,0.002351,0.00184,0.273793,1.0,0.5,0.0,0.156462,0.211377,0.011887,0.994208,1.0,0.975296,0.011621,0.964286
2016,,0.090654,0.083875,0.352554,0.319399,0.004089,0.003751,0.278578,1.0,0.627451,0.201087,0.160356,0.217924,0.012147,0.994208,1.0,0.975296,0.02181,0.965517
2015,,0.111911,0.111223,0.439425,0.32211,0.009731,0.009293,0.305534,1.0,0.5,0.0,0.163729,0.224632,0.011417,0.994208,1.0,0.975296,0.017021,0.966667
2014,,0.13841,0.134124,0.499405,0.327015,0.015542,0.014915,0.318386,1.0,0.416667,0.0,0.165353,0.229901,0.010474,0.994208,1.0,0.975296,0.024109,0.968254
2013,,0.079007,0.082479,0.635334,0.329247,0.017974,0.017285,0.329464,1.0,0.020833,0.495238,0.165069,0.23164,0.009306,0.994208,1.0,0.975296,0.027273,0.939394
