,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.075,,,,,,,,,,,,,,,,,,
2021年,0.074194,,,,,,,,,,,,,,,,,,
2020年,0.076412,,,,,,,,,,,,,,,,,,
2019年,0.075601,,,,,,,,,,,,,,,,,,
2018年,0.078014,,,,,,,,,,,,,,,,,,
2017年,0.077206,,,,,,,,,,,,,,,,,,
2016年,0.079848,,,,,,,,,,,,,,,,,,
2015年,0.079051,,,,,,,,,,,,,,,,,,
2014年,0.081967,,,,,,,,,,,,,,,,,,
2013年,0.081197,,,,,,,,,,,,,,,,,,
Unnamed: 0,,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市,天津市
2022,,0.042864,0.036203,0.092913,0.111656,0.028396,0.026785,0.098127,0.51097,0.439394,0.659794,0.081266,0.109765,0.0,0.879344,0.890748,0.854743,0.001541,0.923077
2021,,0.046866,0.038728,0.086192,0.110934,0.02862,0.026829,0.101005,0.495967,0.112676,0.552083,0.08175,0.11048,0.0,0.879344,0.890748,0.854743,0.001534,0.923077
2020,,0.06081,0.049597,0.081034,0.110805,0.018828,0.01908,0.108382,0.5083,0.515152,0.490683,0.083293,0.113109,0.0,0.879344,0.890748,0.854743,0.0,0.924528
2019,,0.078013,0.062229,0.074996,0.116265,0.015629,0.014635,0.114981,0.526092,0.339623,0.481481,0.084433,0.116562,0.0,0.879344,0.890748,0.854743,0.0,0.907407
2018,,0.075706,0.059681,0.074938,0.12007,0.014549,0.013291,0.120389,0.534676,0.0,0.596386,0.085793,0.119012,0.0,0.879344,0.890748,0.854743,0.001508,0.909091
2017,,0.103279,0.089837,0.175078,0.122942,0.012326,0.011781,0.128298,0.54336,0.0,0.684685,0.089976,0.125339,0.0,0.879344,0.890748,0.854743,0.0,0.910714
2016,,0.098652,0.093796,0.200499,0.127228,0.012289,0.012302,0.126478,0.54431,0.539216,0.836957,0.095349,0.132792,0.001675,0.879344,0.890748,0.854743,0.0,0.896552
2015,,0.087599,0.090769,0.20691,0.133486,0.014285,0.014179,0.134513,0.568938,0.5,0.774566,0.097726,0.136874,0.002243,0.879344,0.890748,0.854743,0.002128,0.9
2014,,0.075753,0.077576,0.199969,0.144287,0.015455,0.015251,0.130867,0.610785,0.433333,0.424242,0.098889,0.140403,0.001779,0.879344,0.890748,0.854743,0.0,0.904762
2013,,0.074255,0.077672,0.216134,0.147826,0.016831,0.016515,0.132693,0.627625,0.520833,0.390476,0.09979,0.142669,0.001745,0.879344,0.890748,0.854743,0.0,0.878788
