,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.4,,,,,,,,,,,,,,,,,,
2021年,0.4,,,,,,,,,,,,,,,,,,
2020年,0.401993,,,,,,,,,,,,,,,,,,
2019年,0.402062,,,,,,,,,,,,,,,,,,
2018年,0.404255,,,,,,,,,,,,,,,,,,
2017年,0.404412,,,,,,,,,,,,,,,,,,
2016年,0.406844,,,,,,,,,,,,,,,,,,
2015年,0.407115,,,,,,,,,,,,,,,,,,
2014年,0.409836,,,,,,,,,,,,,,,,,,
2013年,0.410256,,,,,,,,,,,,,,,,,,
Unnamed: 0,,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省,河北省
2022,,0.636303,0.571002,0.427257,0.316868,0.695514,0.68914,0.251149,0.082748,0.863636,0.793814,0.573985,0.475828,0.654609,0.53668,0.485236,0.570158,0.257319,0.480769
2021,,0.589362,0.528421,0.38451,0.312436,0.663133,0.65899,0.239104,0.090106,0.098592,0.770833,0.574931,0.473639,0.655762,0.53668,0.485236,0.570158,0.187117,0.461538
2020,,0.778335,0.681472,0.370686,0.312233,0.69234,0.709739,0.254475,0.097062,0.69697,0.720497,0.57905,0.471614,0.65608,0.53668,0.485236,0.570158,0.188953,0.45283
2019,,0.846718,0.726627,0.354379,0.313116,0.680912,0.673813,0.258634,0.097026,0.698113,0.611111,0.584268,0.47519,0.65798,0.53668,0.485236,0.570158,0.164885,0.444444
2018,,0.842749,0.715631,0.365963,0.314504,0.667355,0.660641,0.253051,0.097909,0.54386,0.771084,0.589628,0.472962,0.656494,0.53668,0.485236,0.570158,0.170437,0.418182
2017,,0.785282,0.749268,0.46517,0.324384,0.639404,0.636691,0.258051,0.115327,0.470588,0.783784,0.598711,0.47374,0.658526,0.53668,0.485236,0.570158,0.08685,0.410714
2016,,0.662063,0.688468,0.370876,0.337091,0.629688,0.6295,0.249825,0.117631,0.607843,0.86413,0.608143,0.468833,0.663665,0.53668,0.485236,0.570158,0.152672,0.396552
2015,,0.612718,0.724768,0.351032,0.344085,0.625239,0.626989,0.261069,0.114512,0.487805,0.774566,0.618171,0.461232,0.675841,0.53668,0.485236,0.570158,0.137234,0.383333
2014,,0.553904,0.668605,0.330815,0.36097,0.672525,0.672114,0.248044,0.115226,0.266667,0.560606,0.626836,0.452622,0.685375,0.53668,0.485236,0.570158,0.138365,0.365079
2013,,0.439279,0.621866,0.36787,0.379916,0.699925,0.698729,0.25529,0.143438,0.125,0.52381,0.636447,0.450645,0.68767,0.53668,0.485236,0.570158,0.121212,0.363636
