,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.2,,,,,,,,,,,,,,,,,,
2021年,0.2,,,,,,,,,,,,,,,,,,
2020年,0.202658,,,,,,,,,,,,,,,,,,
2019年,0.202749,,,,,,,,,,,,,,,,,,
2018年,0.205674,,,,,,,,,,,,,,,,,,
2017年,0.205882,,,,,,,,,,,,,,,,,,
2016年,0.209125,,,,,,,,,,,,,,,,,,
2015年,0.209486,,,,,,,,,,,,,,,,,,
2014年,0.213115,,,,,,,,,,,,,,,,,,
2013年,0.213675,,,,,,,,,,,,,,,,,,
Unnamed: 0,,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省,山西省
2022,,0.577981,0.512428,0.224012,0.185139,0.200497,0.196651,0.118129,0.197509,0.954545,0.886598,0.253559,0.224033,0.260654,0.552124,0.528543,0.565217,0.120185,0.519231
2021,,0.631001,0.5525,0.227653,0.169523,0.200711,0.197232,0.115194,0.168195,0.492958,0.859375,0.252801,0.222139,0.26001,0.552124,0.528543,0.565217,0.128834,0.5
2020,,0.70614,0.603544,0.196355,0.14584,0.194322,0.198833,0.112243,0.118486,0.681818,0.937888,0.254854,0.22221,0.259777,0.552124,0.528543,0.565217,0.127907,0.509434
2019,,0.722437,0.605445,0.159372,0.143606,0.143356,0.142101,0.115376,0.108303,0.584906,0.666667,0.258575,0.225525,0.262223,0.552124,0.528543,0.565217,0.103817,0.481481
2018,,0.754413,0.629105,0.139498,0.146445,0.13125,0.13097,0.118761,0.112296,0.561404,0.716867,0.262465,0.225906,0.263756,0.552124,0.528543,0.565217,0.092006,0.472727
2017,,0.867321,0.760794,0.244603,0.145463,0.128846,0.12981,0.111018,0.113375,0.5,0.693694,0.268063,0.229081,0.263886,0.552124,0.528543,0.565217,0.035474,0.464286
2016,,0.927098,0.884581,0.233672,0.133021,0.130048,0.131728,0.116189,0.068504,0.352941,0.831522,0.274378,0.231021,0.265759,0.552124,0.528543,0.565217,0.054526,0.448276
2015,,0.947128,0.969897,0.197647,0.146472,0.13154,0.133789,0.130843,0.087149,0.02439,0.682081,0.281019,0.233234,0.268705,0.552124,0.528543,0.565217,0.054255,0.45
2014,,1.0,1.0,0.154517,0.165915,0.141758,0.143804,0.121266,0.112053,0.0,0.727273,0.286904,0.234774,0.271146,0.552124,0.528543,0.565217,0.048218,0.444444
2013,,0.892298,0.926174,0.146358,0.180932,0.140959,0.142873,0.128415,0.149834,0.291667,0.666667,0.293801,0.235983,0.27627,0.552124,0.528543,0.565217,0.045455,0.439394
