,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.15,,,,,,,,,,,,,,,,,,
2021年,0.148387,,,,,,,,,,,,,,,,,,
2020年,0.149502,,,,,,,,,,,,,,,,,,
2019年,0.147766,,,,,,,,,,,,,,,,,,
2018年,0.148936,,,,,,,,,,,,,,,,,,
2017年,0.147059,,,,,,,,,,,,,,,,,,
2016年,0.148289,,,,,,,,,,,,,,,,,,
2015年,0.146245,,,,,,,,,,,,,,,,,,
2014年,0.147541,,,,,,,,,,,,,,,,,,
2013年,0.145299,,,,,,,,,,,,,,,,,,
Unnamed: 0,,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区,内蒙古自治区
2022,,0.33923,0.315413,0.116583,0.165577,0.412265,0.390916,0.111985,0.354371,0.924242,0.804124,0.165704,0.161968,0.136521,0.51834,0.463583,0.563241,0.030817,0.615385
2021,,0.389739,0.359966,0.108577,0.155625,0.380556,0.35969,0.109743,0.321808,0.126761,0.697917,0.165124,0.161059,0.135498,0.51834,0.463583,0.563241,0.032209,0.596154
2020,,0.431222,0.388604,0.094363,0.140553,0.352547,0.345657,0.113683,0.278949,0.424242,0.627329,0.166177,0.161538,0.134866,0.51834,0.463583,0.563241,0.03343,0.584906
2019,,0.424748,0.375099,0.08371,0.145967,0.350546,0.331892,0.123333,0.286954,0.415094,0.685185,0.16936,0.1654,0.136762,0.51834,0.463583,0.563241,0.027481,0.574074
2018,,0.426442,0.375239,0.082018,0.148302,0.339662,0.323046,0.122798,0.288869,0.315789,0.783133,0.17242,0.167715,0.136556,0.51834,0.463583,0.563241,0.054299,0.581818
2017,,0.465024,0.449666,0.111623,0.150046,0.325928,0.312545,0.127189,0.299741,0.088235,0.72973,0.17673,0.17184,0.135941,0.51834,0.463583,0.563241,0.028135,0.571429
2016,,0.385721,0.427789,0.112347,0.155776,0.326306,0.315284,0.128898,0.303807,0.637255,0.847826,0.181189,0.174266,0.13801,0.51834,0.463583,0.563241,0.055616,0.551724
2015,,0.37279,0.456769,0.115185,0.16157,0.319513,0.310912,0.134564,0.308003,0.597561,0.809249,0.185936,0.177013,0.140673,0.51834,0.463583,0.563241,0.046809,0.55
2014,,0.368675,0.464898,0.119095,0.166859,0.338798,0.329669,0.127184,0.299935,0.483333,0.484848,0.190254,0.180536,0.141502,0.51834,0.463583,0.563241,0.023061,0.555556
2013,,0.216695,0.368026,0.124814,0.171288,0.343411,0.334675,0.124491,0.308754,0.229167,0.561905,0.195198,0.183338,0.144436,0.51834,0.463583,0.563241,0.023232,0.545455
