,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.15,,,,,,,,,,,,,,,,,,
2021年,0.148387,,,,,,,,,,,,,,,,,,
2020年,0.149502,,,,,,,,,,,,,,,,,,
2019年,0.147766,,,,,,,,,,,,,,,,,,
2018年,0.148936,,,,,,,,,,,,,,,,,,
2017年,0.147059,,,,,,,,,,,,,,,,,,
2016年,0.148289,,,,,,,,,,,,,,,,,,
2015年,0.146245,,,,,,,,,,,,,,,,,,
2014年,0.147541,,,,,,,,,,,,,,,,,,
2013年,0.145299,,,,,,,,,,,,,,,,,,
Unnamed: 0,,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省,吉林省
2022,,0.167866,0.177769,0.0724,0.086132,0.256724,0.245705,0.051619,0.071409,0.0,0.773196,0.161393,0.145782,0.160803,0.600386,0.526575,0.657115,0.161787,0.519231
2021,,0.164469,0.17873,0.065171,0.090376,0.245698,0.236215,0.054494,0.096704,0.098592,0.770833,0.163095,0.146914,0.161621,0.600386,0.526575,0.657115,0.173313,0.5
2020,,0.177328,0.189582,0.044693,0.094768,0.265232,0.264195,0.057026,0.114668,0.583333,0.602484,0.165851,0.148646,0.162124,0.600386,0.526575,0.657115,0.174419,0.509434
2019,,0.178947,0.193709,0.038206,0.094356,0.235574,0.227469,0.060079,0.101103,0.0,0.694444,0.172081,0.154671,0.166513,0.600386,0.526575,0.657115,0.177099,0.5
2018,,0.184459,0.181567,0.041363,0.098635,0.217905,0.211683,0.061404,0.107312,0.175439,0.710843,0.177589,0.15914,0.167075,0.600386,0.526575,0.657115,0.173454,0.490909
2017,,0.165759,0.194191,0.062672,0.106014,0.208518,0.204536,0.065939,0.128767,0.264706,0.72973,0.184617,0.164287,0.169872,0.600386,0.526575,0.657115,0.066055,0.482143
2016,,0.146458,0.207201,0.070471,0.114261,0.216026,0.213262,0.0706,0.133997,0.588235,0.88587,0.192514,0.169901,0.172984,0.600386,0.526575,0.657115,0.165758,0.482759
2015,,0.170712,0.25972,0.081088,0.121795,0.244739,0.241874,0.074221,0.138833,0.402439,0.895954,0.201181,0.175891,0.177778,0.600386,0.526575,0.657115,0.158511,0.483333
2014,,0.199729,0.300556,0.088656,0.134261,0.258399,0.25547,0.075371,0.152369,0.233333,0.69697,0.207542,0.181562,0.178063,0.600386,0.526575,0.657115,0.155136,0.492063
2013,,0.143912,0.307333,0.088109,0.139435,0.267328,0.264591,0.077921,0.166284,0.1875,0.590476,0.214644,0.185707,0.182241,0.600386,0.526575,0.657115,0.153535,0.484848
