,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.2,,,,,,,,,,,,,,,,,,
2021年,0.2,,,,,,,,,,,,,,,,,,
2020年,0.202658,,,,,,,,,,,,,,,,,,
2019年,0.202749,,,,,,,,,,,,,,,,,,
2018年,0.205674,,,,,,,,,,,,,,,,,,
2017年,0.205882,,,,,,,,,,,,,,,,,,
2016年,0.209125,,,,,,,,,,,,,,,,,,
2015年,0.209486,,,,,,,,,,,,,,,,,,
2014年,0.213115,,,,,,,,,,,,,,,,,,
2013年,0.213675,,,,,,,,,,,,,,,,,,
Unnamed: 0,,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市,上海市
2022,,0.016311,0.012656,0.151628,0.334842,0.0,0.0,0.374886,0.928405,0.257576,0.0,0.171724,0.222425,0.015114,1.0,0.996063,1.0,0.012327,1.0
2021,,0.013245,0.009747,0.139716,0.338986,0.0,0.0,0.415414,0.917393,0.352113,0.0,0.172349,0.223853,0.01416,1.0,0.996063,1.0,0.010736,1.0
2020,,0.019897,0.015462,0.141873,0.339231,0.0,0.001064,0.439279,0.942678,0.537879,0.043478,0.173111,0.226544,0.012799,1.0,0.996063,1.0,0.008721,1.0
2019,,0.021853,0.016602,0.130849,0.341425,0.0,0.0,0.451435,0.933288,0.566038,0.018519,0.174802,0.23346,0.011531,1.0,0.996063,1.0,0.00916,1.0
2018,,0.022683,0.017379,0.125181,0.350249,0.0,0.0,0.461375,0.956265,0.596491,0.0,0.176838,0.238482,0.01047,1.0,0.996063,1.0,0.010558,1.0
2017,,0.050931,0.043727,0.226768,0.34968,0.0,0.0,0.468386,0.974941,0.529412,0.36036,0.179528,0.245604,0.007997,1.0,0.996063,1.0,0.006116,1.0
2016,,0.062495,0.058025,0.26823,0.354537,0.000805,0.000948,0.467877,0.978936,0.627451,0.0,0.183869,0.253335,0.007958,1.0,0.996063,1.0,0.011996,1.0
2015,,0.076681,0.07619,0.32503,0.350715,0.006633,0.00668,0.47971,0.948647,0.512195,0.34104,0.187522,0.259412,0.009582,1.0,0.996063,1.0,0.008511,1.0
2014,,0.095009,0.091959,0.374973,0.361876,0.009596,0.009629,0.46448,0.952163,0.366667,0.257576,0.191867,0.271573,0.004743,1.0,0.996063,1.0,0.009434,1.0
2013,,0.100315,0.098473,0.483823,0.362802,0.011526,0.011567,0.480714,0.938545,0.0625,0.0,0.194559,0.278626,0.002714,1.0,0.996063,1.0,0.010101,1.0
