,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.45,,,,,,,,,,,,,,,,,,
2021年,0.448387,,,,,,,,,,,,,,,,,,
2020年,0.448505,,,,,,,,,,,,,,,,,,
2019年,0.446735,,,,,,,,,,,,,,,,,,
2018年,0.446809,,,,,,,,,,,,,,,,,,
2017年,0.444853,,,,,,,,,,,,,,,,,,
2016年,0.444867,,,,,,,,,,,,,,,,,,
2015年,0.442688,,,,,,,,,,,,,,,,,,
2014年,0.442623,,,,,,,,,,,,,,,,,,
2013年,0.440171,,,,,,,,,,,,,,,,,,
Unnamed: 0,,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省,江苏省
2022,,0.234145,0.239458,0.794116,0.950837,0.784056,0.789994,1.0,0.684041,0.712121,0.680412,0.66306,0.664701,0.489346,0.688224,0.66437,0.699605,0.093991,0.711538
2021,,0.26466,0.274761,0.795333,0.940255,0.779534,0.783127,1.0,0.663794,0.43662,0.598958,0.66074,0.659559,0.490234,0.688224,0.66437,0.699605,0.081288,0.711538
2020,,0.293957,0.308769,0.668459,0.923625,0.812945,0.843671,1.0,0.666238,0.689394,0.627329,0.66169,0.660347,0.48329,0.688224,0.66437,0.699605,0.087209,0.698113
2019,,0.308208,0.324408,0.647239,0.91222,0.836364,0.838696,0.984985,0.64487,0.54717,0.611111,0.668536,0.671882,0.487777,0.688224,0.66437,0.699605,0.054962,0.685185
2018,,0.362567,0.372233,0.632784,0.931526,0.833089,0.836772,0.967564,0.659432,0.578947,0.698795,0.674671,0.673717,0.492537,0.688224,0.66437,0.699605,0.07089,0.672727
2017,,0.432631,0.489801,1.0,0.936003,0.833224,0.839947,0.953466,0.682728,0.558824,0.468468,0.684701,0.683937,0.49276,0.688224,0.66437,0.699605,0.021407,0.660714
2016,,0.410272,0.523477,1.0,0.940582,0.832514,0.84145,0.946089,0.679848,0.715686,0.76087,0.695107,0.687606,0.496545,0.688224,0.66437,0.699605,0.047983,0.655172
2015,,0.372274,0.547625,1.0,0.952822,0.8024,0.813564,0.974719,0.682937,0.707317,0.815029,0.703648,0.687734,0.50316,0.688224,0.66437,0.699605,0.051064,0.633333
2014,,0.367056,0.564912,1.0,0.950285,0.769296,0.77992,0.823821,0.656736,0.616667,0.454545,0.712648,0.686755,0.513834,0.688224,0.66437,0.699605,0.04717,0.634921
2013,,0.639857,0.883516,1.0,0.948861,0.76981,0.778533,0.825451,0.645757,0.4375,0.990476,0.718981,0.684259,0.518806,0.688224,0.66437,0.699605,0.040404,0.606061
