,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.6,,,,,,,,,,,,,,,,,,
2021年,0.6,,,,,,,,,,,,,,,,,,
2020年,0.601329,,,,,,,,,,,,,,,,,,
2019年,0.601375,,,,,,,,,,,,,,,,,,
2018年,0.602837,,,,,,,,,,,,,,,,,,
2017年,0.602941,,,,,,,,,,,,,,,,,,
2016年,0.604563,,,,,,,,,,,,,,,,,,
2015年,0.604743,,,,,,,,,,,,,,,,,,
2014年,0.606557,,,,,,,,,,,,,,,,,,
2013年,0.606838,,,,,,,,,,,,,,,,,,
Unnamed: 0,,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省,浙江省
2022,,0.258324,0.230619,0.753626,0.595206,0.35923,0.343947,0.702131,0.505886,0.757576,0.690722,0.50541,0.502733,0.383548,0.772201,0.769685,0.773715,0.793529,0.692308
2021,,0.289215,0.254873,0.731332,0.586766,0.356588,0.342271,0.664957,0.497189,0.408451,0.557292,0.501218,0.494856,0.385742,0.772201,0.769685,0.773715,0.769939,0.692308
2020,,0.343047,0.293502,0.685378,0.57471,0.37778,0.374277,0.674818,0.505728,0.681818,0.596273,0.497797,0.491549,0.376393,0.772201,0.769685,0.773715,0.728198,0.679245
2019,,0.360589,0.298998,0.584841,0.571688,0.395138,0.377083,0.665923,0.504159,0.716981,0.62963,0.495877,0.495977,0.367851,0.772201,0.769685,0.773715,1.0,0.685185
2018,,0.373354,0.305318,0.478315,0.573742,0.386136,0.369447,0.65098,0.513975,0.649123,0.698795,0.493497,0.488396,0.36957,0.772201,0.769685,0.773715,1.0,0.654545
2017,,0.573822,0.506121,0.740434,0.565385,0.386095,0.37157,0.652669,0.527781,0.647059,0.675676,0.49364,0.488139,0.364383,0.772201,0.769685,0.773715,1.0,0.642857
2016,,0.659932,0.626791,0.73202,0.56897,0.377113,0.365398,0.649929,0.531153,0.686275,0.798913,0.495505,0.48569,0.361675,0.772201,0.769685,0.773715,1.0,0.637931
2015,,0.78036,0.796166,0.800442,0.576266,0.348873,0.340526,0.655508,0.539398,0.634146,0.693642,0.498326,0.482922,0.363099,0.772201,0.769685,0.773715,0.935106,0.616667
2014,,0.941505,0.93667,0.852747,0.581316,0.358166,0.349409,0.601557,0.532494,0.466667,0.19697,0.498477,0.479677,0.360474,0.772201,0.769685,0.773715,0.919287,0.619048
2013,,1.0,1.0,0.846972,0.591914,0.374465,0.36555,0.59846,0.548114,0.145833,0.257143,0.499133,0.476704,0.357697,0.772201,0.769685,0.773715,0.807071,0.606061
