,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.275,,,,,,,,,,,,,,,,,,
2021年,0.274194,,,,,,,,,,,,,,,,,,
2020年,0.275748,,,,,,,,,,,,,,,,,,
2019年,0.274914,,,,,,,,,,,,,,,,,,
2018年,0.276596,,,,,,,,,,,,,,,,,,
2017年,0.275735,,,,,,,,,,,,,,,,,,
2016年,0.277567,,,,,,,,,,,,,,,,,,
2015年,0.27668,,,,,,,,,,,,,,,,,,
2014年,0.278689,,,,,,,,,,,,,,,,,,
2013年,0.277778,,,,,,,,,,,,,,,,,,
Unnamed: 0,,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省,安徽省
2022,,0.56522,0.557526,0.313367,0.33793,0.550938,0.542819,0.312414,0.197014,0.818182,0.773196,0.468803,0.380534,0.554509,0.55695,0.516732,0.589921,0.285054,0.442308
2021,,0.611935,0.596347,0.300166,0.330114,0.550793,0.542735,0.304508,0.195838,0.338028,0.822917,0.466553,0.374732,0.555176,0.55695,0.516732,0.589921,0.291411,0.423077
2020,,0.702566,0.665393,0.27546,0.330976,0.564725,0.575061,0.309467,0.207022,0.689394,0.658385,0.468184,0.371614,0.552738,0.55695,0.516732,0.589921,0.24564,0.415094
2019,,0.743957,0.688404,0.236369,0.33068,0.56067,0.551083,0.302826,0.203464,0.811321,0.777778,0.472543,0.374274,0.553736,0.55695,0.516732,0.589921,0.271756,0.407407
2018,,0.738571,0.676663,0.244863,0.329914,0.522773,0.516052,0.297529,0.201079,0.807018,0.777108,0.477072,0.372814,0.550902,0.55695,0.516732,0.589921,0.316742,0.4
2017,,0.815616,0.808342,0.31611,0.313702,0.523412,0.518481,0.296851,0.186693,0.764706,0.801802,0.484057,0.374366,0.548303,0.55695,0.516732,0.589921,0.108869,0.375
2016,,0.609332,0.696169,0.279998,0.310342,0.50411,0.502188,0.291242,0.169696,0.813725,0.820652,0.492133,0.372059,0.549738,0.55695,0.516732,0.589921,0.189749,0.37931
2015,,0.672949,0.83695,0.288752,0.309247,0.474611,0.472839,0.294647,0.156657,0.719512,0.867052,0.500617,0.370107,0.552905,0.55695,0.516732,0.589921,0.17766,0.366667
2014,,0.603399,0.764515,0.269895,0.320972,0.482414,0.480375,0.270776,0.152871,0.716667,0.69697,0.508062,0.368252,0.55336,0.55695,0.516732,0.589921,0.203354,0.365079
2013,,0.358903,0.604113,0.270412,0.32032,0.478401,0.476514,0.262239,0.156919,0.5625,0.52381,0.517758,0.367202,0.55855,0.55695,0.516732,0.589921,0.20202,0.363636
