,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.5,,,,,,,,,,,,,,,,,,
2021年,0.5,,,,,,,,,,,,,,,,,,
2020年,0.501661,,,,,,,,,,,,,,,,,,
2019年,0.501718,,,,,,,,,,,,,,,,,,
2018年,0.503546,,,,,,,,,,,,,,,,,,
2017年,0.503676,,,,,,,,,,,,,,,,,,
2016年,0.505703,,,,,,,,,,,,,,,,,,
2015年,0.505929,,,,,,,,,,,,,,,,,,
2014年,0.508197,,,,,,,,,,,,,,,,,,
2013年,0.508547,,,,,,,,,,,,,,,,,,
Unnamed: 0,,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省,河南省
2022,,1.0,1.0,0.534101,0.466292,0.922472,0.910085,0.331713,0.117913,0.757576,0.85567,0.773448,0.589238,1.0,0.522201,0.425197,0.601779,0.745763,0.384615
2021,,1.0,1.0,0.534771,0.456552,0.932225,0.915808,0.336521,0.120171,0.028169,0.770833,0.772609,0.583476,1.0,0.522201,0.425197,0.601779,1.0,0.365385
2020,,1.0,1.0,0.452851,0.479242,0.962765,0.973472,0.362569,0.146855,0.492424,0.664596,0.781123,0.582774,1.0,0.522201,0.425197,0.601779,1.0,0.358491
2019,,1.0,1.0,0.393822,0.48942,0.90393,0.885081,0.36151,0.154633,0.716981,0.685185,0.786609,0.583706,1.0,0.522201,0.425197,0.601779,0.931298,0.351852
2018,,1.0,1.0,0.418952,0.491759,0.868048,0.850295,0.347045,0.156048,0.736842,0.795181,0.792896,0.575397,1.0,0.522201,0.425197,0.601779,0.926094,0.327273
2017,,0.671229,0.644722,0.353728,0.481462,0.853152,0.839167,0.328606,0.155227,0.647059,0.81982,0.803935,0.572879,1.0,0.522201,0.425197,0.601779,0.437309,0.321429
2016,,0.494684,0.547896,0.347954,0.482482,0.837557,0.827596,0.323376,0.145112,0.754902,0.907609,0.815871,0.565486,1.0,0.522201,0.425197,0.601779,0.95747,0.310345
2015,,0.588592,0.708497,0.365928,0.489095,0.81552,0.809277,0.311983,0.141226,0.682927,0.878613,0.825784,0.556719,1.0,0.522201,0.425197,0.601779,1.0,0.3
2014,,0.559932,0.678445,0.297528,0.500274,0.852537,0.839015,0.282472,0.133295,0.666667,0.606061,0.834826,0.546224,1.0,0.522201,0.425197,0.601779,1.0,0.301587
2013,,0.389173,0.603293,0.329805,0.49946,0.85664,0.842262,0.273629,0.140482,0.291667,0.609524,0.845065,0.539352,1.0,0.522201,0.425197,0.601779,1.0,0.30303
