,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.55,,,,,,,,,,,,,,,,,,
2021年,0.548387,,,,,,,,,,,,,,,,,,
2020年,0.548173,,,,,,,,,,,,,,,,,,
2019年,0.546392,,,,,,,,,,,,,,,,,,
2018年,0.546099,,,,,,,,,,,,,,,,,,
2017年,0.544118,,,,,,,,,,,,,,,,,,
2016年,0.543726,,,,,,,,,,,,,,,,,,
2015年,0.541502,,,,,,,,,,,,,,,,,,
2014年,0.540984,,,,,,,,,,,,,,,,,,
2013年,0.538462,,,,,,,,,,,,,,,,,,
Unnamed: 0,,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省,湖北省
2022,,0.546698,0.532633,0.347688,0.406362,0.788458,0.782851,0.26355,0.323995,0.939394,0.752577,0.445782,0.390503,0.461348,0.560811,0.537402,0.571146,0.300462,0.538462
2021,,0.482972,0.476409,0.311421,0.391481,0.765073,0.759434,0.25608,0.310986,1.0,1.0,0.443579,0.385984,0.460449,0.560811,0.537402,0.571146,0.300613,0.519231
2020,,0.484445,0.476943,0.282307,0.376222,0.738732,0.753325,0.256158,0.294903,0.0,0.521739,0.438815,0.377248,0.455084,0.560811,0.537402,0.571146,0.292151,0.509434
2019,,0.459429,0.451831,0.2595,0.411436,0.738997,0.727283,0.297604,0.330568,0.811321,0.777778,0.458938,0.395619,0.471633,0.560811,0.537402,0.571146,0.348092,0.5
2018,,0.428277,0.419335,0.261469,0.41133,0.710609,0.701715,0.289244,0.327645,0.77193,0.76506,0.463815,0.39888,0.464691,0.560811,0.537402,0.571146,0.352941,0.490909
2017,,0.744377,0.696877,0.341482,0.39741,0.723904,0.715097,0.285892,0.318169,0.647059,0.756757,0.471082,0.403517,0.461854,0.560811,0.537402,0.571146,0.170031,0.482143
2016,,0.688369,0.707917,0.350459,0.397332,0.698335,0.688547,0.281427,0.306766,0.745098,0.88587,0.47934,0.405045,0.46178,0.560811,0.537402,0.571146,0.263904,0.482759
2015,,0.623187,0.707862,0.38939,0.397628,0.627194,0.621126,0.291366,0.297165,0.707317,0.884393,0.486429,0.405136,0.462793,0.560811,0.537402,0.571146,0.291489,0.466667
2014,,0.581401,0.666106,0.382404,0.406084,0.636872,0.627284,0.270979,0.288297,0.8,0.727273,0.491849,0.404667,0.461462,0.560811,0.537402,0.571146,0.277778,0.47619
2013,,0.372437,0.518679,0.396165,0.39805,0.640879,0.630734,0.265495,0.27709,0.541667,0.714286,0.500411,0.405896,0.464715,0.560811,0.537402,0.571146,0.234343,0.469697
