,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.55,,,,,,,,,,,,,,,,,,
2021年,0.548387,,,,,,,,,,,,,,,,,,
2020年,0.548173,,,,,,,,,,,,,,,,,,
2019年,0.546392,,,,,,,,,,,,,,,,,,
2018年,0.546099,,,,,,,,,,,,,,,,,,
2017年,0.544118,,,,,,,,,,,,,,,,,,
2016年,0.543726,,,,,,,,,,,,,,,,,,
2015年,0.541502,,,,,,,,,,,,,,,,,,
2014年,0.540984,,,,,,,,,,,,,,,,,,
2013年,0.538462,,,,,,,,,,,,,,,,,,
Unnamed: 0,,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省,湖南省
2022,,0.62249,0.630074,0.254336,0.36648,0.726538,0.71555,0.353647,0.19698,0.969697,0.731959,0.507606,0.41237,0.599108,0.549228,0.500984,0.592885,0.248074,0.442308
2021,,0.41276,0.442967,0.183821,0.355786,0.712451,0.702387,0.343481,0.190631,0.253521,0.921875,0.507875,0.409344,0.600586,0.549228,0.500984,0.592885,0.233129,0.442308
2020,,0.474799,0.503965,0.169207,0.36284,0.75846,0.771589,0.356683,0.208004,0.69697,0.751553,0.512237,0.408884,0.599194,0.549228,0.500984,0.592885,0.180233,0.433962
2019,,0.451397,0.482728,0.13868,0.359362,0.706621,0.696745,0.35793,0.199868,0.867925,0.759259,0.517728,0.412383,0.601476,0.549228,0.500984,0.592885,0.169466,0.407407
2018,,0.45816,0.484057,0.153929,0.35348,0.614854,0.611082,0.347758,0.190135,0.77193,0.801205,0.523679,0.411798,0.599465,0.549228,0.500984,0.592885,0.153846,0.4
2017,,0.524273,0.544625,0.22011,0.359681,0.611533,0.610089,0.34911,0.204793,0.676471,0.756757,0.532904,0.413903,0.600389,0.549228,0.500984,0.592885,0.06055,0.392857
2016,,0.354286,0.42392,0.211452,0.36647,0.594326,0.594813,0.346103,0.200115,0.735294,0.853261,0.543309,0.410381,0.607539,0.549228,0.500984,0.592885,0.140676,0.37931
2015,,0.328256,0.437423,0.204597,0.373128,0.551921,0.55492,0.353066,0.196123,0.695122,0.83237,0.553842,0.407006,0.615698,0.549228,0.500984,0.592885,0.138298,0.366667
2014,,0.249488,0.32976,0.225808,0.370971,0.564605,0.566972,0.323466,0.172483,0.766667,0.681818,0.56306,0.404283,0.61917,0.549228,0.500984,0.592885,0.133124,0.365079
2013,,0.364972,0.494078,0.301137,0.368333,0.573532,0.575868,0.312215,0.173458,0.520833,0.466667,0.573633,0.40379,0.623304,0.549228,0.500984,0.592885,0.118182,0.363636
