,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,1.0,,,,,,,,,,,,,,,,,,
2021年,1.0,,,,,,,,,,,,,,,,,,
2020年,1.0,,,,,,,,,,,,,,,,,,
2019年,1.0,,,,,,,,,,,,,,,,,,
2018年,1.0,,,,,,,,,,,,,,,,,,
2017年,1.0,,,,,,,,,,,,,,,,,,
2016年,1.0,,,,,,,,,,,,,,,,,,
2015年,1.0,,,,,,,,,,,,,,,,,,
2014年,1.0,,,,,,,,,,,,,,,,,,
2013年,1.0,,,,,,,,,,,,,,,,,,
Unnamed: 0,,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省,广东省
2022,,0.237005,0.229462,1.0,1.0,0.845491,0.814319,0.922183,0.391737,0.575758,0.896907,1.0,1.0,0.740585,0.687259,0.637795,0.738142,0.503852,0.730769
2021,,0.24493,0.236179,1.0,1.0,0.823982,0.795359,0.923078,0.392938,0.323944,0.84375,1.0,1.0,0.734863,0.687259,0.637795,0.738142,0.619632,0.730769
2020,,0.283721,0.268973,1.0,1.0,0.848748,0.845852,0.956654,0.410514,0.583333,0.751553,1.0,1.0,0.723157,0.687259,0.637795,0.738142,0.37064,0.716981
2019,,0.297122,0.277039,1.0,1.0,0.847023,0.813789,1.0,0.411186,0.603774,0.814815,1.0,1.0,0.737777,0.687259,0.637795,0.738142,0.39084,0.703704
2018,,0.263125,0.247722,1.0,1.0,0.770085,0.743292,1.0,0.416277,0.596491,0.855422,1.0,1.0,0.725997,0.687259,0.637795,0.738142,0.366516,0.690909
2017,,0.326183,0.335453,0.838886,1.0,0.741354,0.719578,1.0,0.440043,0.602941,0.756757,1.0,1.0,0.717528,0.687259,0.637795,0.738142,0.138226,0.678571
2016,,0.334147,0.380053,0.737715,1.0,0.718251,0.701797,1.0,0.440388,0.686275,0.842391,1.0,1.0,0.695707,0.687259,0.637795,0.738142,0.23446,0.672414
2015,,0.361382,0.45606,0.837567,1.0,0.643808,0.633929,1.0,0.439564,0.634146,0.820809,1.0,1.0,0.678084,0.687259,0.637795,0.738142,0.218085,0.683333
2014,,0.374306,0.479084,0.902237,1.0,0.644982,0.635214,1.0,0.426407,0.483333,0.5,1.0,1.0,0.66502,0.687259,0.637795,0.738142,0.201258,0.68254
2013,,0.373986,0.538519,0.973293,1.0,0.63921,0.630382,1.0,0.432467,0.1875,0.438095,1.0,1.0,0.650446,0.687259,0.637795,0.738142,0.177778,0.666667
