,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.075,,,,,,,,,,,,,,,,,,
2021年,0.074194,,,,,,,,,,,,,,,,,,
2020年,0.076412,,,,,,,,,,,,,,,,,,
2019年,0.075601,,,,,,,,,,,,,,,,,,
2018年,0.078014,,,,,,,,,,,,,,,,,,
2017年,0.077206,,,,,,,,,,,,,,,,,,
2016年,0.079848,,,,,,,,,,,,,,,,,,
2015年,0.079051,,,,,,,,,,,,,,,,,,
2014年,0.081967,,,,,,,,,,,,,,,,,,
2013年,0.081197,,,,,,,,,,,,,,,,,,
Unnamed: 0,,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省,海南省
2022,,0.052743,0.047467,0.037914,0.036899,0.212977,0.205054,0.064699,0.148846,0.318182,0.680412,0.053933,0.05306,0.04782,0.662162,0.547244,0.799407,0.01849,0.461538
2021,,0.057415,0.050902,0.033397,0.036072,0.195233,0.188373,0.064942,0.157045,0.774648,0.640625,0.053093,0.052293,0.046387,0.662162,0.547244,0.799407,0.016871,0.461538
2020,,0.067159,0.057479,0.020676,0.033534,0.188707,0.189329,0.051293,0.152677,0.674242,0.645963,0.0527,0.051896,0.045034,0.662162,0.547244,0.799407,0.015988,0.45283
2019,,0.073776,0.061527,0.017581,0.03418,0.193996,0.187311,0.040576,0.151272,0.528302,0.694444,0.052276,0.052079,0.043127,0.662162,0.547244,0.799407,0.015267,0.444444
2018,,0.080362,0.066003,0.015492,0.034171,0.181852,0.175879,0.035519,0.152251,0.421053,0.819277,0.05236,0.052704,0.039875,0.662162,0.547244,0.799407,0.016591,0.454545
2017,,0.09967,0.088349,0.026203,0.034867,0.180436,0.175654,0.039658,0.163708,0.529412,0.756757,0.052832,0.052874,0.038038,0.662162,0.547244,0.799407,0.007951,0.446429
2016,,0.110537,0.105893,0.026506,0.036019,0.172507,0.168996,0.040965,0.162644,0.686275,0.902174,0.053337,0.052874,0.037906,0.662162,0.547244,0.799407,0.010905,0.448276
2015,,0.127012,0.129823,0.028879,0.036521,0.154246,0.152176,0.043937,0.156793,0.609756,0.936416,0.054195,0.052855,0.03894,0.662162,0.547244,0.799407,0.010638,0.433333
2014,,0.141267,0.140528,0.026051,0.037322,0.15413,0.151944,0.040003,0.147799,0.616667,0.727273,0.054729,0.053084,0.038933,0.662162,0.547244,0.799407,0.009434,0.428571
2013,,0.080996,0.089327,0.030176,0.037093,0.146905,0.144984,0.037387,0.152446,0.416667,0.809524,0.055053,0.053304,0.038387,0.662162,0.547244,0.799407,0.006061,0.424242
