,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.275,,,,,,,,,,,,,,,,,,
2021年,0.274194,,,,,,,,,,,,,,,,,,
2020年,0.275748,,,,,,,,,,,,,,,,,,
2019年,0.274914,,,,,,,,,,,,,,,,,,
2018年,0.276596,,,,,,,,,,,,,,,,,,
2017年,0.275735,,,,,,,,,,,,,,,,,,
2016年,0.277567,,,,,,,,,,,,,,,,,,
2015年,0.27668,,,,,,,,,,,,,,,,,,
2014年,0.278689,,,,,,,,,,,,,,,,,,
2013年,0.277778,,,,,,,,,,,,,,,,,,
Unnamed: 0,,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市,重庆市
2022,,0.480018,0.419587,0.188034,0.212594,0.308807,0.293168,0.204927,0.31439,0.681818,0.773196,0.231758,0.229821,0.180872,0.614865,0.550197,0.68083,0.343606,0.653846
2021,,0.518274,0.445794,0.184364,0.21198,0.307742,0.292821,0.198868,0.31712,0.366197,0.84375,0.231044,0.227711,0.181885,0.614865,0.550197,0.68083,0.338957,0.634615
2020,,0.570315,0.475924,0.167945,0.211798,0.311202,0.306114,0.20095,0.330808,0.704545,0.807453,0.23193,0.227302,0.182034,0.614865,0.550197,0.68083,0.340116,0.622642
2019,,0.604654,0.493109,0.161423,0.206117,0.288329,0.273687,0.191599,0.311878,0.622642,0.787037,0.233097,0.229101,0.183579,0.614865,0.550197,0.68083,0.316031,0.611111
2018,,0.63696,0.515239,0.176079,0.203669,0.262893,0.250509,0.185839,0.305445,0.45614,0.855422,0.2342,0.227164,0.185787,0.614865,0.550197,0.68083,0.331825,0.6
2017,,0.924598,0.794319,0.22697,0.20728,0.246786,0.237059,0.195441,0.327527,0.867647,0.792793,0.237025,0.227546,0.187595,0.614865,0.550197,0.68083,0.140673,0.571429
2016,,1.0,0.930952,0.249719,0.20805,0.238675,0.230867,0.183499,0.322215,1.0,0.929348,0.239454,0.225928,0.189948,0.614865,0.550197,0.68083,0.219193,0.551724
2015,,1.0,1.0,0.264549,0.203523,0.202549,0.197424,0.174226,0.302396,1.0,0.901734,0.241452,0.223386,0.193272,0.614865,0.550197,0.68083,0.202128,0.533333
2014,,0.905536,0.887844,0.261855,0.203532,0.197324,0.192158,0.157383,0.284328,1.0,0.666667,0.243461,0.222208,0.194664,0.614865,0.550197,0.68083,0.187631,0.539683
2013,,0.995713,0.970943,0.264812,0.197801,0.196666,0.191736,0.150746,0.273165,0.979167,0.657143,0.24596,0.220979,0.196782,0.614865,0.550197,0.68083,0.157576,0.515152
