,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.35,,,,,,,,,,,,,,,,,,
2021年,0.348387,,,,,,,,,,,,,,,,,,
2020年,0.348837,,,,,,,,,,,,,,,,,,
2019年,0.347079,,,,,,,,,,,,,,,,,,
2018年,0.347518,,,,,,,,,,,,,,,,,,
2017年,0.345588,,,,,,,,,,,,,,,,,,
2016年,0.346008,,,,,,,,,,,,,,,,,,
2015年,0.343874,,,,,,,,,,,,,,,,,,
2014年,0.344262,,,,,,,,,,,,,,,,,,
2013年,0.34188,,,,,,,,,,,,,,,,,,
Unnamed: 0,,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省,贵州省
2022,,0.717888,0.600996,0.153793,0.142,0.445724,0.437493,0.111751,0.05059,0.469697,0.731959,0.284064,0.212027,0.381318,0.290541,0.179134,0.391304,0.05547,0.346154
2021,,0.713296,0.591886,0.1271,0.141703,0.4441,0.436962,0.111622,0.064824,0.323944,0.838542,0.283,0.209923,0.378662,0.290541,0.179134,0.391304,0.059816,0.326923
2020,,0.788392,0.635345,0.103231,0.146067,0.446341,0.454818,0.115825,0.081888,0.75,0.913043,0.284875,0.208017,0.378052,0.290541,0.179134,0.391304,0.061047,0.320755
2019,,0.83082,0.655947,0.086825,0.141797,0.433841,0.427812,0.10696,0.070985,1.0,0.990741,0.287516,0.207421,0.380535,0.290541,0.179134,0.391304,0.059542,0.296296
2018,,0.849134,0.667704,0.088017,0.140297,0.423303,0.418599,0.10459,0.068132,1.0,1.0,0.289145,0.202698,0.380263,0.290541,0.179134,0.391304,0.057315,0.290909
2017,,0.854469,0.711858,0.127446,0.13573,0.406934,0.405012,0.099672,0.064304,1.0,1.0,0.29291,0.200637,0.379295,0.290541,0.179134,0.391304,0.022018,0.267857
2016,,0.734194,0.66372,0.107864,0.13112,0.371054,0.372335,0.091947,0.043679,0.980392,1.0,0.29547,0.19464,0.379686,0.290541,0.179134,0.391304,0.033806,0.258621
2015,,0.587904,0.571453,0.097677,0.128892,0.321966,0.322618,0.089797,0.029642,0.963415,1.0,0.297674,0.186736,0.383282,0.290541,0.179134,0.391304,0.031915,0.233333
2014,,0.50185,0.477146,0.087094,0.12246,0.26087,0.257358,0.084044,0.0,0.983333,1.0,0.300251,0.178869,0.386759,0.290541,0.179134,0.391304,0.026205,0.222222
2013,,0.2886,0.286063,0.089075,0.115847,0.209952,0.208735,0.079406,0.0,1.0,0.761905,0.302657,0.171098,0.390655,0.290541,0.179134,0.391304,0.024242,0.212121
