,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.55,,,,,,,,,,,,,,,,,,
2021年,0.548387,,,,,,,,,,,,,,,,,,
2020年,0.548173,,,,,,,,,,,,,,,,,,
2019年,0.546392,,,,,,,,,,,,,,,,,,
2018年,0.546099,,,,,,,,,,,,,,,,,,
2017年,0.544118,,,,,,,,,,,,,,,,,,
2016年,0.543726,,,,,,,,,,,,,,,,,,
2015年,0.541502,,,,,,,,,,,,,,,,,,
2014年,0.540984,,,,,,,,,,,,,,,,,,
2013年,0.538462,,,,,,,,,,,,,,,,,,
Unnamed: 0,,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省,云南省
2022,,0.591111,0.514815,0.18113,0.211217,0.631321,0.59801,0.21806,0.115229,0.939394,0.865979,0.352152,0.245578,0.51115,0.176641,0.069882,0.27668,0.180277,0.288462
2021,,0.588755,0.51026,0.182993,0.204514,0.629574,0.598506,0.209354,0.114234,0.211268,0.848958,0.351031,0.242177,0.509766,0.176641,0.069882,0.27668,0.197853,0.269231
2020,,0.710266,0.600559,0.180018,0.207352,0.643049,0.631947,0.21392,0.126249,0.712121,0.875776,0.35536,0.24182,0.508888,0.176641,0.069882,0.27668,0.143895,0.264151
2019,,0.693085,0.574398,0.139166,0.202523,0.584962,0.556117,0.209413,0.115024,0.962264,0.972222,0.358922,0.242401,0.508072,0.176641,0.069882,0.27668,0.172519,0.259259
2018,,0.654376,0.539567,0.140181,0.196472,0.494026,0.47277,0.201512,0.10328,0.964912,0.96988,0.362598,0.24134,0.501225,0.176641,0.069882,0.27668,0.180995,0.236364
2017,,0.909071,0.778251,0.22774,0.189779,0.471759,0.454736,0.193975,0.096713,0.897059,0.981982,0.368385,0.242653,0.494705,0.176641,0.069882,0.27668,0.068502,0.232143
2016,,0.766839,0.728881,0.214442,0.187628,0.448112,0.435396,0.186789,0.079744,0.803922,0.978261,0.374914,0.240238,0.493403,0.176641,0.069882,0.27668,0.122137,0.241379
2015,,0.713129,0.738911,0.209063,0.18886,0.412896,0.40394,0.18945,0.070328,0.719512,0.965318,0.381829,0.237721,0.494597,0.176641,0.069882,0.27668,0.108511,0.233333
2014,,0.505648,0.536903,0.164626,0.194874,0.419547,0.41012,0.177525,0.062672,0.533333,0.939394,0.387675,0.23503,0.493083,0.176641,0.069882,0.27668,0.102725,0.238095
2013,,0.513146,0.569335,0.134065,0.194524,0.411009,0.402296,0.174494,0.07105,0.958333,0.857143,0.394778,0.234272,0.493214,0.176641,0.069882,0.27668,0.072727,0.242424
