,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.0,,,,,,,,,,,,,,,,,,
2021年,0.0,,,,,,,,,,,,,,,,,,
2020年,0.0,,,,,,,,,,,,,,,,,,
2019年,0.0,,,,,,,,,,,,,,,,,,
2018年,0.0,,,,,,,,,,,,,,,,,,
2017年,0.0,,,,,,,,,,,,,,,,,,
2016年,0.0,,,,,,,,,,,,,,,,,,
2015年,0.0,,,,,,,,,,,,,,,,,,
2014年,0.0,,,,,,,,,,,,,,,,,,
2013年,0.0,,,,,,,,,,,,,,,,,,
Unnamed: 0,,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区,西藏自治区
2022,,0.0,0.0,0.0,0.0,0.013416,0.01202,0.0,0.092676,0.454545,1.0,0.0,0.0,0.006194,0.0,0.0,0.0,0.0,0.0
2021,,0.0,0.0,0.0,0.0,0.011462,0.009899,0.0,0.108188,0.126761,0.817708,0.0,0.0,0.005859,0.0,0.0,0.0,0.0,0.0
2020,,0.0,0.0,0.0,0.0,0.007818,0.007749,0.0,0.128065,1.0,1.0,0.0,0.0,0.005452,0.0,0.0,0.0,0.0,0.0
2019,,0.0,0.0,0.0,0.0,0.006208,0.005369,0.0,0.100607,0.962264,0.888889,0.0,0.0,0.004382,0.0,0.0,0.0,0.0,0.0
2018,,0.0,0.0,0.0,0.0,0.00485,0.003836,0.0,0.099955,0.964912,0.753012,0.0,0.0,0.002673,0.0,0.0,0.0,0.0,0.0
2017,,0.0,0.0,0.0,0.0,0.001567,0.00128,0.0,0.093911,0.970588,0.801802,0.0,0.0,0.000216,0.0,0.0,0.0,0.0,0.0
2016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079369,0.941176,0.918478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067251,1.0,0.83815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051133,0.983333,0.636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052497,0.9375,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
