,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.25,,,,,,,,,,,,,,,,,,
2021年,0.248387,,,,,,,,,,,,,,,,,,
2020年,0.249169,,,,,,,,,,,,,,,,,,
2019年,0.247423,,,,,,,,,,,,,,,,,,
2018年,0.248227,,,,,,,,,,,,,,,,,,
2017年,0.246324,,,,,,,,,,,,,,,,,,
2016年,0.247148,,,,,,,,,,,,,,,,,,
2015年,0.245059,,,,,,,,,,,,,,,,,,
2014年,0.245902,,,,,,,,,,,,,,,,,,
2013年,0.24359,,,,,,,,,,,,,,,,,,
Unnamed: 0,,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省,陕西省
2022,,0.358424,0.331405,0.202902,0.241287,0.399623,0.391006,0.151082,0.260731,0.939394,0.804124,0.292199,0.256834,0.302527,0.541506,0.523622,0.54249,0.204931,0.519231
2021,,0.347754,0.316534,0.159406,0.22865,0.389995,0.382547,0.148385,0.240157,0.112676,0.765625,0.291281,0.255251,0.300293,0.541506,0.523622,0.54249,0.179448,0.519231
2020,,0.391555,0.348239,0.154072,0.220702,0.396388,0.40272,0.15684,0.233957,0.568182,0.726708,0.292788,0.25428,0.299834,0.541506,0.523622,0.54249,0.116279,0.509434
2019,,0.384377,0.335875,0.13736,0.226697,0.376055,0.370055,0.162257,0.24238,0.566038,0.87037,0.295432,0.256147,0.302122,0.541506,0.523622,0.54249,0.103817,0.481481
2018,,0.391137,0.340456,0.145904,0.227584,0.356068,0.351719,0.157892,0.24361,0.824561,0.789157,0.298232,0.254373,0.303854,0.541506,0.523622,0.54249,0.085973,0.472727
2017,,0.435219,0.389741,0.159102,0.222863,0.345264,0.343127,0.158976,0.243889,0.647059,0.846847,0.301476,0.253865,0.303652,0.541506,0.523622,0.54249,0.034251,0.446429
2016,,0.359094,0.352179,0.16412,0.220679,0.335946,0.335834,0.15747,0.228606,0.686275,0.891304,0.305498,0.252001,0.304921,0.541506,0.523622,0.54249,0.080698,0.431034
2015,,0.343145,0.361917,0.182721,0.228741,0.313171,0.31496,0.165263,0.235999,0.597561,0.919075,0.309834,0.250561,0.307034,0.541506,0.523622,0.54249,0.070213,0.433333
2014,,0.301064,0.311699,0.175946,0.244861,0.323256,0.324613,0.158018,0.25124,0.783333,0.772727,0.313687,0.249263,0.307905,0.541506,0.523622,0.54249,0.066038,0.428571
2013,,0.244073,0.266129,0.179786,0.244461,0.316106,0.317808,0.155951,0.25251,0.604167,0.647619,0.31836,0.248223,0.310392,0.541506,0.523622,0.54249,0.052525,0.424242
