,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.15,,,,,,,,,,,,,,,,,,
2021年,0.148387,,,,,,,,,,,,,,,,,,
2020年,0.149502,,,,,,,,,,,,,,,,,,
2019年,0.147766,,,,,,,,,,,,,,,,,,
2018年,0.148936,,,,,,,,,,,,,,,,,,
2017年,0.147059,,,,,,,,,,,,,,,,,,
2016年,0.148289,,,,,,,,,,,,,,,,,,
2015年,0.146245,,,,,,,,,,,,,,,,,,
2014年,0.147541,,,,,,,,,,,,,,,,,,
2013年,0.145299,,,,,,,,,,,,,,,,,,
Unnamed: 0,,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省,甘肃省
2022,,0.416734,0.362123,0.076221,0.071417,0.228699,0.218544,0.052381,0.0,0.969697,0.948454,0.173107,0.130239,0.232408,0.333012,0.331693,0.306324,0.115562,0.326923
2021,,0.407086,0.35121,0.059794,0.066417,0.213841,0.205098,0.050121,0.0,0.15493,0.963542,0.172431,0.127947,0.23291,0.333012,0.331693,0.306324,0.093558,0.307692
2020,,0.443494,0.374515,0.050891,0.064779,0.198268,0.198,0.0506,0.0,0.69697,0.850932,0.174172,0.127302,0.232994,0.333012,0.331693,0.306324,0.078488,0.301887
2019,,0.42353,0.351047,0.04328,0.066051,0.190064,0.183433,0.049726,0.0,0.603774,1.0,0.177111,0.128185,0.23524,0.333012,0.331693,0.306324,0.073282,0.296296
2018,,0.535513,0.441203,0.05311,0.066625,0.16949,0.164661,0.047406,0.0,0.473684,0.885542,0.180173,0.129187,0.232346,0.333012,0.331693,0.306324,0.058824,0.290909
2017,,0.320092,0.284958,0.057427,0.066309,0.158623,0.156192,0.047392,0.0,0.014706,0.918919,0.184277,0.129588,0.232548,0.333012,0.331693,0.306324,0.013456,0.267857
2016,,0.352391,0.339,0.065279,0.07081,0.146256,0.145381,0.049309,0.0,0.696078,0.972826,0.188451,0.12782,0.235812,0.333012,0.331693,0.306324,0.02072,0.258621
2015,,0.390723,0.40127,0.073721,0.074822,0.133037,0.136501,0.052045,0.0,0.658537,0.930636,0.19325,0.127275,0.23894,0.333012,0.331693,0.306324,0.018085,0.25
2014,,0.37538,0.373847,0.075172,0.082975,0.132839,0.13621,0.051293,0.007632,0.683333,0.833333,0.197599,0.126298,0.241304,0.333012,0.331693,0.306324,0.015723,0.253968
2013,,0.174802,0.20084,0.080423,0.084091,0.131926,0.13522,0.051843,0.019852,0.770833,0.72381,0.202684,0.125165,0.246026,0.333012,0.331693,0.306324,0.011111,0.242424
