,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.025,,,,,,,,,,,,,,,,,,
2021年,0.022581,,,,,,,,,,,,,,,,,,
2020年,0.023256,,,,,,,,,,,,,,,,,,
2019年,0.020619,,,,,,,,,,,,,,,,,,
2018年,0.021277,,,,,,,,,,,,,,,,,,
2017年,0.018382,,,,,,,,,,,,,,,,,,
2016年,0.019011,,,,,,,,,,,,,,,,,,
2015年,0.01581,,,,,,,,,,,,,,,,,,
2014年,0.016393,,,,,,,,,,,,,,,,,,
2013年,0.012821,,,,,,,,,,,,,,,,,,
Unnamed: 0,,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省,青海省
2022,,0.100479,0.083315,0.017061,0.011635,0.045666,0.042031,0.005246,0.108404,0.636364,0.824742,0.018791,0.024654,0.006442,0.170849,0.142717,0.166008,0.001541,0.480769
2021,,0.10607,0.087,0.014797,0.01064,0.043402,0.039803,0.006259,0.109587,0.0,0.677083,0.018509,0.024432,0.005859,0.170849,0.142717,0.166008,0.003067,0.461538
2020,,0.117659,0.094391,0.013756,0.010134,0.042263,0.041068,0.006066,0.116881,0.522727,0.807453,0.018519,0.024377,0.005926,0.170849,0.142717,0.166008,0.0,0.45283
2019,,0.131195,0.103306,0.011192,0.011697,0.038883,0.035926,0.005167,0.120163,0.584906,0.888889,0.018882,0.02481,0.005996,0.170849,0.142717,0.166008,0.001527,0.444444
2018,,0.131273,0.103189,0.010216,0.012191,0.0337,0.030921,0.005337,0.123552,0.649123,0.861446,0.019426,0.024694,0.00646,0.170849,0.142717,0.166008,0.024133,0.418182
2017,,0.185863,0.157002,0.030428,0.01236,0.027023,0.025382,0.005987,0.122426,0.558824,0.873874,0.020098,0.024667,0.006268,0.170849,0.142717,0.166008,0.009174,0.392857
2016,,0.127475,0.117377,0.014912,0.013399,0.023454,0.022405,0.006863,0.120548,0.715686,0.967391,0.02092,0.024861,0.007749,0.170849,0.142717,0.166008,0.016358,0.396552
2015,,0.134132,0.132362,0.015469,0.013136,0.023975,0.023132,0.007015,0.101851,0.658537,0.919075,0.021766,0.025305,0.00897,0.170849,0.142717,0.166008,0.015957,0.383333
2014,,0.138493,0.1337,0.015148,0.013505,0.027936,0.026978,0.006515,0.087185,0.716667,0.787879,0.022483,0.02667,0.008498,0.170849,0.142717,0.166008,0.015723,0.396825
2013,,0.065654,0.069042,0.011439,0.014351,0.028242,0.027312,0.00669,0.100866,0.666667,0.714286,0.02319,0.026981,0.0095,0.170849,0.142717,0.166008,0.014141,0.378788
