,Demand,PILE,ALE,SLE,GDP,PIGDP,AGDP,SGDP,GDPpc,GDPI,PIGDPI,Population,City_Population,Rural_Population,Life_Expectancy,Life_Expectancy_M,Life_Expectancy_F,Honey,City_Population_Ratio
2022年,0.025,,,,,,,,,,,,,,,,,,
2021年,0.022581,,,,,,,,,,,,,,,,,,
2020年,0.023256,,,,,,,,,,,,,,,,,,
2019年,0.020619,,,,,,,,,,,,,,,,,,
2018年,0.021277,,,,,,,,,,,,,,,,,,
2017年,0.018382,,,,,,,,,,,,,,,,,,
2016年,0.019011,,,,,,,,,,,,,,,,,,
2015年,0.01581,,,,,,,,,,,,,,,,,,
2014年,0.016393,,,,,,,,,,,,,,,,,,
2013年,0.012821,,,,,,,,,,,,,,,,,,
Unnamed: 0,,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区,宁夏回族自治区
2022,,0.096511,0.084633,0.030455,0.023129,0.050068,0.048559,0.008846,0.170718,0.893939,0.845361,0.02961,0.037196,0.010406,0.423745,0.454724,0.360672,0.010786,0.557692
2021,,0.114031,0.098692,0.03131,0.02045,0.045256,0.043822,0.007545,0.153429,0.140845,0.682292,0.029144,0.03697,0.009277,0.423745,0.454724,0.360672,0.009202,0.557692
2020,,0.122657,0.102972,0.025746,0.018797,0.042281,0.043551,0.008496,0.149427,0.704545,0.726708,0.028961,0.036511,0.009718,0.423745,0.454724,0.360672,0.007267,0.54717
2019,,0.123972,0.101772,0.021199,0.019294,0.034512,0.034379,0.008976,0.140317,0.660377,0.759259,0.029354,0.036992,0.010148,0.423745,0.454724,0.360672,0.019847,0.537037
2018,,0.110604,0.089354,0.011451,0.019938,0.036032,0.03559,0.009123,0.146787,0.596491,0.831325,0.029682,0.036698,0.01047,0.423745,0.454724,0.360672,0.016591,0.509091
2017,,0.117248,0.106693,0.030073,0.020502,0.029607,0.030242,0.00897,0.15518,0.573529,0.828829,0.03019,0.037059,0.009293,0.423745,0.454724,0.360672,0.006728,0.5
2016,,0.119059,0.121237,0.031557,0.019859,0.027649,0.028657,0.008311,0.13483,0.676471,0.918478,0.030688,0.036503,0.011309,0.423745,0.454724,0.360672,0.010905,0.482759
2015,,0.108867,0.120996,0.029669,0.02085,0.029776,0.03081,0.008486,0.135961,0.634146,0.890173,0.031195,0.036774,0.012029,0.423745,0.454724,0.360672,0.010638,0.466667
2014,,0.100905,0.109476,0.02612,0.022819,0.028155,0.029201,0.009423,0.143499,0.516667,0.833333,0.031619,0.0368,0.013043,0.423745,0.454724,0.360672,0.010482,0.460317
2013,,0.062865,0.081799,0.030456,0.024313,0.029614,0.030523,0.010082,0.166233,0.458333,0.619048,0.031863,0.036325,0.014153,0.423745,0.454724,0.360672,0.009091,0.439394
