,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,7815,7495,7315,7105,8129,9494,9537,9551,9474,3599
天津市,11470,10986,11246,12403,12265,13200,10591,7908,5739,3394
河北省,127507,105390,117945,114610,115722,105372,73763,58834,44777,26599
山西省,114798,110032,104786,95968,102075,106983,94596,78524,66666,39575
内蒙古自治区,72051,72915,68491,60533,62035,63495,46071,37307,31322,15775
辽宁省,59907,57851,60355,50804,52445,44088,36796,32287,27981,23131
吉林省,42186,37976,34884,32629,31489,27786,22638,21479,20467,13187
黑龙江省,69960,58793,59153,50726,54873,60981,37930,32838,28504,16445
上海市,6361,5399,5482,5384,5593,6755,6791,6737,6689,4281
江苏省,55571,56489,55010,52735,61561,69105,56236,44605,37928,37756
浙江省,53653,52655,52432,48826,51007,71386,67211,64569,62483,42723
安徽省,124583,118485,115230,108730,109576,113629,74581,67845,51112,25842
福建省,72500,66846,59673,51198,47123,55999,47858,41418,33397,22137
江西省,109191,89753,86027,70862,70224,69269,55064,40974,31064,18842
山东省,186582,176234,160524,125306,129659,140418,106857,69181,48678,40978
河南省,220588,196302,171732,156664,160573,90759,58830,57527,45427,25807
湖北省,119182,95363,83408,72337,68990,98049,75829,57476,44612,22199
湖南省,140324,88916,87971,77090,79198,76768,45660,35753,22396,21150
广东省,53402,49051,48290,45448,41923,47531,41000,37250,32259,23045
广西壮族自治区,95980,92537,89695,83239,81016,85439,76497,61108,49601,27508
海南省,13914,13333,12577,12295,13262,12992,11876,11045,9897,3891
重庆市,94654,89461,83236,78687,84116,111669,99522,80942,59258,41484
四川省,148381,101202,99709,93884,93383,78902,53836,40698,32780,23412
贵州省,134015,117625,110156,103737,108163,100143,71134,46519,32131,12280
云南省,115316,101889,104282,91192,87953,109423,78056,59970,36078,24359
西藏自治区,3615,3520,2871,2830,2852,643,627,617,615,82
陕西省,75521,64542,61675,54499,56549,55119,38039,29688,21203,11430
甘肃省,82186,71227,66112,56833,72439,40473,36639,32849,25308,8646
青海省,21692,20292,18810,18722,19127,22588,13096,11249,9446,3026
宁夏回族自治区,21978,22546,20259,18486,16945,15556,13506,10336,7846,3570
新疆维吾尔自治区,40475,34096,31588,26125,26326,22757,20806,17640,15907,8342
