,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,100.7,108.8,101.1,106.1,106.7,106.8,106.9,106.9,107.4,107.7
天津市,101.0,106.6,101.4,104.8,103.4,103.4,106.0,106.9,107.5,110.1
河北省,103.8,106.5,103.8,106.7,106.5,106.6,106.7,106.8,106.5,108.2
山西省,104.4,109.3,103.6,106.1,106.6,106.8,104.1,103.0,104.9,109.0
内蒙古自治区,104.2,106.7,100.2,105.2,105.2,104.0,107.0,107.7,107.8,108.7
辽宁省,102.1,105.8,100.6,105.4,105.6,104.2,100.5,102.8,105.7,108.7
吉林省,98.1,106.5,102.3,103.0,104.4,105.2,106.5,106.1,106.3,108.5
黑龙江省,102.7,106.1,100.9,104.0,104.5,106.0,104.4,105.4,105.3,107.6
上海市,99.8,108.3,101.7,106.0,106.8,107.0,106.9,107.0,107.1,107.9
江苏省,102.8,108.9,103.7,105.9,106.7,107.2,107.8,108.6,108.6,109.7
浙江省,103.1,108.7,103.6,106.8,107.1,107.8,107.5,108.0,107.7,108.3
安徽省,103.5,108.2,103.7,107.3,108.0,108.6,108.8,108.7,109.2,110.3
福建省,104.7,108.3,103.2,107.5,108.3,108.1,108.4,108.9,109.9,111.0
江西省,104.7,108.9,103.8,107.9,108.7,108.8,109.0,109.1,109.7,110.1
山东省,103.9,108.3,103.5,105.3,106.3,107.3,107.4,107.8,108.5,109.4
河南省,103.1,106.0,101.1,106.8,107.6,107.8,108.2,108.4,108.9,109.0
湖北省,104.3,112.9,94.6,107.3,107.8,107.8,108.1,108.6,109.7,110.2
湖南省,104.5,107.6,103.8,107.6,107.8,108.0,108.0,108.5,109.5,110.1
广东省,101.9,108.1,102.3,106.2,106.8,107.5,107.5,108.0,107.8,108.5
广西壮族自治区,102.9,107.9,103.7,106.0,106.8,107.1,107.0,107.9,108.3,110.0
海南省,100.2,111.3,103.5,105.8,105.8,107.0,107.5,107.8,108.6,109.6
重庆市,102.6,108.4,103.9,106.3,106.0,109.3,110.7,111.0,110.9,112.3
四川省,102.9,108.2,103.8,107.4,108.0,108.1,107.8,107.9,108.5,110.0
贵州省,101.2,108.1,104.5,108.3,109.1,110.2,110.5,110.7,110.8,112.4
云南省,104.3,107.3,104.0,108.1,108.9,109.5,108.7,108.7,108.1,112.2
西藏自治区,101.1,106.7,107.8,108.1,108.9,110.0,110.1,111.0,110.8,112.1
陕西省,104.3,106.6,102.1,106.0,108.1,107.8,107.5,107.7,109.6,110.5
甘肃省,104.5,106.9,103.8,106.2,106.1,103.5,107.6,108.2,109.0,111.3
青海省,102.3,105.8,101.5,106.1,107.1,107.2,107.8,108.2,109.2,110.8
宁夏回族自治区,104.0,106.8,103.9,106.5,106.8,107.3,107.4,108.0,108.0,109.8
新疆维吾尔自治区,103.2,107.2,103.4,106.2,106.1,107.6,107.5,108.8,110.0,111.0
