,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,0.09,0.1,0.13,0.12,0.1,0.19,0.2,0.16,0.23,0.28
天津市,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.02,0.0,0.01
河北省,1.67,1.22,1.31,1.09,1.13,1.42,1.4,1.29,1.32,1.21
山西省,0.78,0.84,0.89,0.69,0.61,0.58,0.5,0.51,0.46,0.46
内蒙古自治区,0.2,0.21,0.24,0.19,0.36,0.46,0.51,0.44,0.22,0.24
辽宁省,0.15,0.18,0.22,0.26,0.28,0.3,0.23,0.06,0.07,0.12
吉林省,1.05,1.13,1.21,1.17,1.15,1.08,1.52,1.49,1.48,1.53
黑龙江省,1.61,1.46,1.33,1.69,1.88,1.92,2.06,2.0,1.9,1.8
上海市,0.08,0.07,0.07,0.07,0.07,0.1,0.11,0.08,0.09,0.11
江苏省,0.61,0.53,0.61,0.37,0.47,0.35,0.44,0.48,0.45,0.41
浙江省,5.15,5.02,5.02,6.56,6.63,16.35,9.17,8.79,8.77,8.0
安徽省,1.85,1.9,1.7,1.79,2.1,1.78,1.74,1.67,1.94,2.01
福建省,1.83,1.79,1.74,1.65,1.58,1.45,1.41,1.36,1.17,1.09
江西省,1.71,1.55,2.29,2.01,1.82,1.49,1.58,1.57,1.56,1.39
山东省,0.83,0.83,0.39,0.44,0.43,0.46,0.61,0.64,0.64,0.62
河南省,4.84,6.52,6.89,6.11,6.14,7.15,8.78,9.4,9.54,9.91
湖北省,1.95,1.96,2.02,2.29,2.34,2.78,2.42,2.74,2.65,2.33
湖南省,1.61,1.52,1.25,1.12,1.02,0.99,1.29,1.3,1.27,1.18
广东省,3.27,4.04,2.56,2.57,2.43,2.26,2.15,2.05,1.92,1.77
广西壮族自治区,2.82,2.64,2.6,1.84,1.61,1.5,1.42,1.36,1.31,1.24
海南省,0.12,0.11,0.12,0.11,0.11,0.13,0.1,0.1,0.09,0.07
重庆市,2.23,2.21,2.35,2.08,2.2,2.3,2.01,1.9,1.79,1.57
四川省,6.49,6.27,6.27,5.53,5.43,5.77,4.88,4.8,4.72,4.54
贵州省,0.36,0.39,0.43,0.4,0.38,0.36,0.31,0.3,0.25,0.25
云南省,1.17,1.29,1.0,1.14,1.2,1.12,1.12,1.02,0.98,0.73
西藏自治区,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01
陕西省,1.33,1.17,0.81,0.69,0.57,0.56,0.74,0.66,0.63,0.53
甘肃省,0.75,0.61,0.55,0.49,0.39,0.22,0.19,0.17,0.15,0.12
青海省,0.01,0.02,0.01,0.02,0.16,0.15,0.15,0.15,0.15,0.15
宁夏回族自治区,0.07,0.06,0.06,0.14,0.11,0.11,0.1,0.1,0.1,0.1
新疆维吾尔自治区,1.55,1.61,1.73,1.76,1.96,0.94,0.99,1.1,0.97,1.28
