,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,82.49,82.49,82.49,82.49,82.49,82.49,82.49,82.49,82.49,82.49
天津市,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
河北省,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75,77.75
山西省,77.91,77.91,77.91,77.91,77.91,77.91,77.91,77.91,77.91,77.91
内蒙古自治区,77.56,77.56,77.56,77.56,77.56,77.56,77.56,77.56,77.56,77.56
辽宁省,78.68,78.68,78.68,78.68,78.68,78.68,78.68,78.68,78.68,78.68
吉林省,78.41,78.41,78.41,78.41,78.41,78.41,78.41,78.41,78.41,78.41
黑龙江省,78.25,78.25,78.25,78.25,78.25,78.25,78.25,78.25,78.25,78.25
上海市,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55,82.55
江苏省,79.32,79.32,79.32,79.32,79.32,79.32,79.32,79.32,79.32,79.32
浙江省,80.19,80.19,80.19,80.19,80.19,80.19,80.19,80.19,80.19,80.19
安徽省,77.96,77.96,77.96,77.96,77.96,77.96,77.96,77.96,77.96,77.96
福建省,78.49,78.49,78.49,78.49,78.49,78.49,78.49,78.49,78.49,78.49
江西省,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.64
山东省,79.18,79.18,79.18,79.18,79.18,79.18,79.18,79.18,79.18,79.18
河南省,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6,77.6
湖北省,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
湖南省,77.88,77.88,77.88,77.88,77.88,77.88,77.88,77.88,77.88,77.88
广东省,79.31,79.31,79.31,79.31,79.31,79.31,79.31,79.31,79.31,79.31
广西壮族自治区,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06,78.06
海南省,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05
重庆市,78.56,78.56,78.56,78.56,78.56,78.56,78.56,78.56,78.56,78.56
四川省,77.79,77.79,77.79,77.79,77.79,77.79,77.79,77.79,77.79,77.79
贵州省,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2,75.2
云南省,74.02,74.02,74.02,74.02,74.02,74.02,74.02,74.02,74.02,74.02
西藏自治区,72.19,72.19,72.19,72.19,72.19,72.19,72.19,72.19,72.19,72.19
陕西省,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
甘肃省,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64,75.64
青海省,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96,73.96
宁夏回族自治区,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58,76.58
新疆维吾尔自治区,75.65,75.65,75.65,75.65,75.65,75.65,75.65,75.65,75.65,75.65
