,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62
天津市,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4
河北省,80.52,80.52,80.52,80.52,80.52,80.52,80.52,80.52,80.52,80.52
山西省,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.47,80.47
内蒙古自治区,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45,80.45
辽宁省,81.54,81.54,81.54,81.54,81.54,81.54,81.54,81.54,81.54,81.54
吉林省,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4,81.4
黑龙江省,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42,81.42
上海市,84.87,84.87,84.87,84.87,84.87,84.87,84.87,84.87,84.87,84.87
江苏省,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83,81.83
浙江省,82.58,82.58,82.58,82.58,82.58,82.58,82.58,82.58,82.58,82.58
安徽省,80.72,80.72,80.72,80.72,80.72,80.72,80.72,80.72,80.72,80.72
福建省,81.55,81.55,81.55,81.55,81.55,81.55,81.55,81.55,81.55,81.55
江西省,80.52,80.52,80.52,80.52,80.52,80.52,80.52,80.52,80.52,80.52
山东省,82.11,82.11,82.11,82.11,82.11,82.11,82.11,82.11,82.11,82.11
河南省,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84,80.84
湖北省,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53,80.53
湖南省,80.75,80.75,80.75,80.75,80.75,80.75,80.75,80.75,80.75,80.75
广东省,82.22,82.22,82.22,82.22,82.22,82.22,82.22,82.22,82.22,82.22
广西壮族自治区,81.98,81.98,81.98,81.98,81.98,81.98,81.98,81.98,81.98,81.98
海南省,82.84,82.84,82.84,82.84,82.84,82.84,82.84,82.84,82.84,82.84
重庆市,81.64,81.64,81.64,81.64,81.64,81.64,81.64,81.64,81.64,81.64
四川省,80.93,80.93,80.93,80.93,80.93,80.93,80.93,80.93,80.93,80.93
贵州省,78.71,78.71,78.71,78.71,78.71,78.71,78.71,78.71,78.71,78.71
云南省,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55
西藏自治区,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75,74.75
陕西省,80.24,80.24,80.24,80.24,80.24,80.24,80.24,80.24,80.24,80.24
甘肃省,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85,77.85
青海省,76.43,76.43,76.43,76.43,76.43,76.43,76.43,76.43,76.43,76.43
宁夏回族自治区,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4
新疆维吾尔自治区,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89,77.89
