,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,3110.3,3126.7,2840.3,2867.5,2824.1,2703.7,2544.3,2506.7,2579.0,2483.2
天津市,1401.7,1424.6,1304.1,1357.3,1345.2,1313.6,1199.1,1146.3,1102.4,1039.0
河北省,3429.1,3218.3,2927.3,2922.5,2722.3,2553.3,2290.0,2153.0,2025.1,1938.8
山西省,1666.7,1608.9,1347.0,1361.6,1328.3,1148.5,1108.1,1117.1,1026.8,1007.6
内蒙古自治区,1585.3,1538.1,1363.0,1448.3,1370.2,1303.0,1220.5,1146.7,1073.4,978.8
辽宁省,2229.1,2192.0,2002.8,2147.9,2046.9,1988.1,1920.7,1819.8,1667.6,1459.3
吉林省,785.5,820.5,733.5,759.1,732.9,717.8,704.9,666.7,665.4,637.0
黑龙江省,1294.3,1228.4,997.0,1001.3,946.3,900.6,876.0,830.9,795.0,713.5
上海市,5068.5,5508.3,4980.6,5023.2,4884.8,4562.9,4218.5,3892.2,3729.4,3593.3
江苏省,13350.7,13101.2,11210.6,10836.6,10139.3,9197.5,8447.9,7829.8,6559.0,6123.5
浙江省,9404.2,8749.5,7597.6,7360.2,6853.0,6323.6,5828.6,5290.6,4808.8,4457.5
安徽省,4240.8,4067.8,3538.3,3404.0,3184.0,2924.0,2656.3,2420.1,2204.1,1989.8
福建省,6230.4,5634.2,4706.0,4422.9,3891.9,3426.5,3043.4,2747.4,2531.3,2256.6
江西省,2844.5,2588.2,2185.8,2112.2,1942.3,1695.0,1397.7,1213.5,1114.0,1005.0
山东省,11819.1,11537.1,9810.8,9564.8,8747.1,8057.1,7842.4,7306.6,6604.9,5843.5
河南省,4496.5,4483.6,4128.3,4043.4,3698.0,3227.4,2940.5,2558.0,2296.2,2073.4
湖北省,3593.4,3438.8,2946.0,3347.1,3098.0,2819.3,2569.5,2394.0,2205.7,2013.7
湖南省,4787.1,4574.0,4062.9,4004.4,3705.4,3423.3,3141.5,2884.8,2619.0,2356.6
广东省,12319.7,12102.1,10729.0,11000.2,10476.0,9642.1,8924.7,8030.9,7946.3,7404.6
广西壮族自治区,2156.3,2079.1,1829.3,1759.0,1607.6,1485.8,1351.0,1252.5,1178.7,1133.4
海南省,958.8,956.2,669.8,546.6,464.2,466.7,442.8,425.8,386.9,339.5
重庆市,2816.7,2695.7,2332.6,2192.1,2024.6,1955.1,1703.4,1462.2,1311.2,1171.5
四川省,5132.1,4924.8,4299.5,4243.8,3835.5,3432.3,2760.3,2360.0,2083.2,1831.4
贵州省,1582.2,1562.5,1386.8,1269.9,1181.2,1040.1,893.7,790.6,733.7,647.9
云南省,2990.7,2831.9,2476.7,2386.2,2187.3,1941.1,1732.5,1583.3,1469.8,1345.8
西藏自治区,101.6,112.7,99.9,104.5,95.5,87.8,80.5,76.3,71.9,65.1
陕西省,2103.3,2040.0,1842.5,1872.4,1734.5,1606.7,1473.2,1390.9,1316.2,1209.7
甘肃省,795.6,763.7,662.1,646.3,587.6,540.6,516.6,490.3,475.8,445.6
青海省,171.1,194.0,167.3,160.8,150.9,145.0,141.2,132.1,123.2,114.2
宁夏回族自治区,218.8,210.7,194.3,202.3,190.2,173.5,154.0,143.8,146.1,139.1
新疆维吾尔自治区,784.4,796.5,685.0,770.5,742.6,704.7,588.3,525.2,552.2,560.5
