,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.87,0.87,0.86
天津市,0.85,0.85,0.85,0.84,0.84,0.84,0.83,0.83,0.83,0.82
河北省,0.62,0.61,0.6,0.59,0.57,0.56,0.54,0.52,0.49,0.48
山西省,0.64,0.63,0.63,0.61,0.6,0.59,0.57,0.56,0.54,0.53
内蒙古自治区,0.69,0.68,0.67,0.66,0.66,0.65,0.63,0.62,0.61,0.6
辽宁省,0.73,0.73,0.72,0.71,0.7,0.69,0.69,0.68,0.67,0.66
吉林省,0.64,0.63,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56
黑龙江省,0.66,0.66,0.66,0.65,0.63,0.62,0.61,0.6,0.59,0.58
上海市,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9
江苏省,0.74,0.74,0.73,0.72,0.71,0.7,0.69,0.67,0.66,0.64
浙江省,0.73,0.73,0.72,0.72,0.7,0.69,0.68,0.66,0.65,0.64
安徽省,0.6,0.59,0.58,0.57,0.56,0.54,0.53,0.51,0.49,0.48
福建省,0.7,0.7,0.69,0.68,0.67,0.66,0.64,0.63,0.62,0.61
江西省,0.62,0.61,0.6,0.59,0.57,0.56,0.54,0.52,0.51,0.49
山东省,0.65,0.64,0.63,0.62,0.61,0.61,0.59,0.57,0.55,0.53
河南省,0.57,0.56,0.55,0.54,0.52,0.51,0.49,0.47,0.45,0.44
湖北省,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.57,0.56,0.55
湖南省,0.6,0.6,0.59,0.57,0.56,0.55,0.53,0.51,0.49,0.48
广东省,0.75,0.75,0.74,0.73,0.72,0.71,0.7,0.7,0.69,0.68
广西壮族自治区,0.56,0.55,0.54,0.53,0.52,0.51,0.49,0.48,0.47,0.45
海南省,0.61,0.61,0.6,0.59,0.59,0.58,0.57,0.55,0.53,0.52
重庆市,0.71,0.7,0.69,0.68,0.67,0.65,0.63,0.61,0.6,0.58
四川省,0.58,0.58,0.57,0.55,0.54,0.52,0.5,0.48,0.47,0.45
贵州省,0.55,0.54,0.53,0.51,0.5,0.48,0.46,0.43,0.4,0.38
云南省,0.52,0.51,0.5,0.49,0.47,0.46,0.45,0.43,0.41,0.4
西藏自治区,0.37,0.37,0.36,0.35,0.34,0.33,0.31,0.29,0.26,0.24
陕西省,0.64,0.64,0.63,0.61,0.6,0.58,0.56,0.55,0.53,0.52
甘肃省,0.54,0.53,0.52,0.51,0.5,0.48,0.46,0.44,0.42,0.4
青海省,0.62,0.61,0.6,0.59,0.57,0.55,0.54,0.52,0.51,0.49
宁夏回族自治区,0.66,0.66,0.65,0.64,0.62,0.61,0.59,0.57,0.55,0.53
新疆维吾尔自治区,0.58,0.57,0.57,0.56,0.54,0.52,0.5,0.49,0.47,0.45
