,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,,,80.43,,,,,,,
天津市,,,79.32,,,,,,,
河北省,,,75.2,,,,,,,
山西省,,,75.64,,,,,,,
内蒙古自治区,,,74.98,,,,,,,
辽宁省,,,75.96,,,,,,,
吉林省,,,75.62,,,,,,,
黑龙江省,,,75.33,,,,,,,
上海市,,,80.39,,,,,,,
江苏省,,,77.02,,,,,,,
浙江省,,,78.09,,,,,,,
安徽省,,,75.52,,,,,,,
福建省,,,75.81,,,,,,,
江西省,,,75.08,,,,,,,
山东省,,,76.46,,,,,,,
河南省,,,74.59,,,,,,,
湖北省,,,75.73,,,,,,,
湖南省,,,75.36,,,,,,,
广东省,,,76.75,,,,,,,
广西壮族自治区,,,74.64,,,,,,,
海南省,,,75.83,,,,,,,
重庆市,,,75.86,,,,,,,
四川省,,,75.01,,,,,,,
贵州省,,,72.09,,,,,,,
云南省,,,70.98,,,,,,,
西藏自治区,,,70.27,,,,,,,
陕西省,,,75.59,,,,,,,
甘肃省,,,73.64,,,,,,,
青海省,,,71.72,,,,,,,
宁夏回族自治区,,,74.89,,,,,,,
新疆维吾尔自治区,,,73.66,,,,,,,
