,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,7351,7036,6858,6648,7716,9008,9042,9026,8949,3098
天津市,10707,10390,10684,11851,11818,12322,9789,7189,5155,2914
河北省,115706,95296,106861,104011,105892,89801,62411,46867,34108,17047
山西省,105387,101813,97184,89111,95058,99121,87165,72135,61120,34587
内蒙古自治区,63144,64053,60334,53421,54834,53418,36601,28738,22892,8429
辽宁省,48977,48248,50296,42302,44025,30723,24894,21438,17652,13572
吉林省,32824,28796,26302,23952,25156,19420,14254,13469,12662,5611
黑龙江省,62309,53091,53748,46100,50265,47322,26644,21844,17734,5682
上海市,6009,5128,5200,5118,5315,6375,6412,6364,6321,3923
江苏省,44551,44477,41935,39449,47000,49738,38894,28699,22794,24813
浙江省,48829,48320,48515,45729,48323,65778,62212,59534,57578,38757
安徽省,103129,98829,96705,91691,93115,93247,57486,51418,37105,13935
福建省,65574,60339,54003,46383,42810,50706,43405,37796,30243,19741
江西省,98597,81454,77906,64092,63469,60700,48568,35623,26282,14762
山东省,150581,141976,127605,100155,105433,114194,86617,52579,34118,28072
河南省,180056,159565,136573,122388,125178,76844,46778,45044,34473,15107
湖北省,99852,78645,67468,57579,55059,85154,64868,47658,35773,14459
湖南省,113262,67656,66175,56616,58724,60149,33665,25373,15675,14170
广东省,45057,41389,40563,38120,34804,37645,31784,27876,23233,14519
广西壮族自治区,86986,83339,81140,75901,74408,77842,69902,56320,45757,24217
海南省,12455,12041,11535,11343,12389,11912,10899,10167,9122,3175
重庆市,88054,84170,78978,74990,80653,105628,93974,76130,55400,38591
四川省,138252,95172,93708,87763,87331,71812,47437,35213,27765,18954
贵州省,130141,114693,108209,102105,106675,97661,69148,44992,30956,11213
云南省,107710,95201,97737,85592,82789,103864,72197,54454,31186,19907
西藏自治区,3123,3055,2533,2498,2533,589,575,570,568,39
陕西省,66540,57482,55017,48581,50504,50032,34114,26498,18798,9489
甘肃省,76857,66768,61979,53275,68211,36953,33488,30093,23298,6807
青海省,20901,19656,18304,18227,18633,21704,12481,10705,8954,2581
宁夏回族自治区,20199,20902,18974,17361,16098,13909,11695,8796,6678,2473
新疆维吾尔自治区,30928,26256,24392,20421,20779,17203,15365,12622,11065,3842
