,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
北京市,341260,322189,307996,259365,273387,210061,208813,206521,197293,190705
天津市,119079,105119,95568,84886,79142,128601,119826,98551,80350,66138
河北省,517926,441451,411316,374542,358174,337751,219536,165475,131451,111227
山西省,275470,264606,221278,172364,141041,178727,139240,94250,62599,45404
内蒙古自治区,147316,130357,110098,93920,85930,82851,68237,55958,48765,39002
辽宁省,234520,220268,208749,169425,178057,191012,169643,155775,137479,115758
吉林省,94609,81420,55953,46743,46950,47558,43730,40125,36877,28095
黑龙江省,116509,85791,79395,66672,69493,80414,57116,49972,45135,39955
上海市,189122,165464,161888,142793,127314,165868,159464,153401,148697,145683
江苏省,955561,904625,735916,678171,613999,723353,587718,466828,392798,299067
浙江省,907259,832468,754359,613479,465896,536211,430888,374162,335289,253594
安徽省,382064,346360,307510,252193,242064,230282,166351,136555,107659,82267
福建省,594100,529008,404678,317460,236338,274120,230843,193733,155845,97491
江西省,354064,242250,201735,137446,119751,134553,104265,80263,63083,44458
山东省,1168922,1063047,906404,728784,598403,661406,543508,403965,310631,236206
河南省,645383,610860,500883,415436,408979,257404,206121,172392,118451,99916
湖北省,423006,359049,314974,276174,257986,248575,207587,183287,151599,119635
湖南省,311644,215189,191685,150912,154878,161068,126236,97477,90441,91397
广东省,1201165,1135372,1097327,1043904,966082,607193,434221,391401,354617,291131
广西壮族自治区,250762,225206,196525,165974,142714,153421,131838,106962,84623,64262
海南省,53469,45597,29772,25360,22146,21265,18000,15881,12427,10880
重庆市,232551,215801,190309,174491,176115,166014,148631,125316,104519,80603
四川省,392191,227826,216758,192114,187084,116118,93544,80348,71240,56653
贵州省,191704,151240,119765,97150,91682,94259,65613,47828,36267,28382
云南省,224315,214255,203469,151415,141696,166569,127986,99551,66547,41751
西藏自治区,8241,7944,7233,7132,7292,2373,2488,2471,2253,1913
陕西省,250288,187663,175186,149543,147183,117082,98536,87319,70968,55337
甘肃省,99167,75357,62709,52004,58213,43777,40691,36704,31611,25811
青海省,28594,24627,22228,18736,17087,24311,11215,9654,8169,5312
宁夏回族自治区,44572,43244,35299,29111,18271,24055,20956,16248,12454,10963
新疆维吾尔自治区,126700,101851,88141,68208,65814,66172,58857,50653,43201,31535
